indicator,category,channel,n,r_full,p_full,r_partial,p_partial,r_volume,p_volume,r2_price_model
Auto Production,demand,Auto (~25% of steel demand),38,-0.5926860190598547,8.829176199726848e-05,-0.24692072681726143,0.13503809260058286,0.3149564340707112,0.054104160639176065,0.7339534163176862
Auto Sales,demand,Auto (leading indicator for production),38,-0.5357770865523341,0.0005270287852463665,-0.22354225314684167,0.17729859554007046,0.2217289014925646,0.18093128226396407,0.7339534163176862
Housing Starts,demand,Construction (~40% of steel demand),38,0.7033277966863157,8.451894818477381e-07,0.10968353414456465,0.5121261514097086,-0.4702548084976232,0.002889817906080774,0.7339534163176862
ISM PMI,activity,Manufacturing activity (broad demand),38,0.18580331877220355,0.26405120039729124,-0.4392189153544212,0.005800774655606792,-0.6233927283356915,2.904990540674164e-05,0.7339534163176862
WTI Crude,energy,Energy capex → OCTG/tubular demand,38,0.8748392606424036,6.969216472253653e-13,0.6928446874977083,1.432354222408616e-06,-0.02361120819966026,0.8881016975264774,0.7339534163176862
Rig Count,energy,Drilling activity → OCTG demand,38,0.037393747065543645,0.8236225700486881,0.33875187944477114,0.03748838909637019,0.3235538271989364,0.047529101683713305,0.7339534163176862
Scrap PPI,cost,EAF cost input / price co-movement,38,0.8755224074261606,6.352291486265377e-13,0.20766230977056205,0.2109179092528586,-0.5614788417025344,0.0002447923149353105,0.7339534163176862
Industrial Production,activity,Broad manufacturing output,38,0.3569954515092919,0.02779102128319217,0.4309094119488448,0.0069170911818546826,0.20753820900888295,0.21119690532983107,0.7339534163176862
Mfg Industrial Prod,activity,Manufacturing-specific output,38,0.0840212542530769,0.6159993885692531,0.12247300413506901,0.46385198741551154,0.14227540511584422,0.3941621603695057,0.7339534163176862
Non-Res Construction,demand,Commercial/infrastructure steel,38,0.4375022220389797,0.006017702068165169,0.5490047693370698,0.00035792518176610964,0.1433482634623615,0.3905689459517806,0.7339534163176862
Durable Goods Orders,demand,Forward-looking mfg demand,38,0.7619097035974043,2.7542816612297795e-08,0.6470263567671596,1.1353590662828045e-05,0.042445273731540355,0.8002498750383714,0.7339534163176862
Building Permits,demand,Leading indicator for housing/construction,38,0.7174601624071564,4.000960682042619e-07,0.13390457823937998,0.4228489856829526,-0.4709045340094334,0.002845992665979809,0.7339534163176862
Real GDP,activity,Macro backdrop,38,0.6701399871019694,4.17839677195701e-06,0.5367512765637877,0.0005124992910051455,-0.027091113816225785,0.8717376970784033,0.7339534163176862
Steel Capacity Util,supply,Supply tightness → pricing power,38,0.5038722517889701,0.0012589337093339252,0.12063333618914589,0.47064269468023234,-0.242254250416853,0.1428120629067501,0.7339534163176862
Steel Import Price,price,Import competition / global price,38,0.9356278104407522,7.369192969995845e-18,0.5070018828598108,0.0011601510896230246,-0.19652031295904576,0.23699197417611576,0.7339534163176862
Trade Balance (Goods),trade,Trade deficit → import pressure,38,-0.7590652968224257,3.32433150342941e-08,-0.40608629833728493,0.011415381648422268,0.20518138820096657,0.21654393496213312,0.7339534163176862
