indicator,lag,f_stat,f_pvalue,chi2_stat,chi2_pvalue,n,significant_005,significant_010
Scrap PPI,1,17.795767320990496,0.00017236153880884194,19.3659820846073,1.079123019019859e-05,38,True,True
WTI Crude,1,16.896873565361723,0.00023558927509490706,18.387774174070113,1.8021055987777893e-05,38,True,True
Steel Import Price,2,10.251161703198509,0.0003826401329106767,23.809149762267506,6.7594104643114175e-06,38,True,True
Durable Goods Orders,2,7.405318179406852,0.0023503266370179694,17.199448674751398,0.00018415655174954218,38,True,True
Trade Balance (Goods),1,9.362997608365491,0.0043011109236224376,10.189144456162447,0.0014126984473240385,38,True,True
Building Permits,1,5.1526106187518526,0.029668030894871935,5.607252732171133,0.017886284093919007,38,True,True
Housing Starts,2,3.6384041730665637,0.0380717317012235,8.45048711163847,0.014621773057965535,38,True,True
Real GDP,2,3.319757544377319,0.04938828528858327,7.7104046191989335,0.021169320120191425,38,True,True
Rig Count,3,2.9137359787989863,0.05174299874419216,10.926509920496198,0.012129974550393413,38,False,True
Steel Capacity Util,2,3.2350982223280775,0.05296313937464047,7.5137765163748895,0.023356306207888408,38,False,True
Auto Sales,1,3.5546705747223544,0.06794710944272205,3.8683179783743267,0.04920581115018941,38,False,True
ISM PMI,3,2.4862350915045273,0.081140522060139,9.323381593141976,0.02528645016686627,38,False,True
Non-Res Construction,2,2.123244985020122,0.13671312322102058,4.931407707143509,0.08494902964653492,38,False,False
Auto Production,1,2.2060519091111015,0.1466838460789465,2.4007035481503163,0.12128069509152373,38,False,False
Industrial Production,3,1.850719228217082,0.16093938318444045,6.940197105814057,0.0738285190189039,38,False,False
Mfg Industrial Prod,3,1.8379753005651225,0.16319000280760784,6.892407377119209,0.07540733964516036,38,False,False
