Category,Scenario,USS_Value,Nippon_Value,vs_55_Offer,WACC_Advantage,Year,Revenue,EBITDA,EBITDA_Margin,CapEx,FCF
Scenario Valuation,Severe Downturn (Historical Crisis),0.0,0.0,-55.0,2.7479447322492994,,,,,,
Scenario Valuation,Downside (Weak Markets),27.67867076401515,40.76134690318397,-14.23865309681603,2.7479447322492994,,,,,,
Scenario Valuation,Base Case (Mid-Cycle),53.853617304540876,76.04191849690876,21.041918496908764,2.7479447322492994,,,,,,
Scenario Valuation,Above Average (Strong Cycle),81.97892968407598,113.05034300535858,58.050343005358584,2.7479447322492994,,,,,,
Scenario Valuation,Wall Street Consensus,74.47589464947643,102.20419848001002,47.20419848001002,2.7479447322492994,,,,,,
Scenario Valuation,Optimistic (Sustained Growth),98.66999760026805,137.12070267541623,82.12070267541623,2.7479447322492994,,,,,,
Scenario Valuation,NSA Mandated CapEx,69.82228262044926,122.41035270968038,67.41035270968038,2.7479447322492994,,,,,,
Scenario Valuation,Futures: Downside,33.72472924456321,47.77325079602093,-7.226749203979068,2.7479447322492994,,,,,,
Scenario Valuation,Futures: Base Case,80.80632849389283,111.4682199316772,56.4682199316772,2.7479447322492994,,,,,,
Scenario Valuation,Futures: Above Average,118.41029677274308,161.55215978483213,106.55215978483213,2.7479447322492994,,,,,,
Scenario Valuation,Futures: Optimistic,186.24787764221844,257.7738492103459,202.77384921034587,2.7479447322492994,,,,,,
Scenario Valuation,Futures: No Tariff,42.054936599377825,60.54571816509623,5.545718165096233,2.7479447322492994,,,,,,
Scenario Valuation,Tariff Removal,31.89835461760746,47.10072420214732,-7.899275797852681,2.7479447322492994,,,,,,
Scenario Valuation,Tariff Reduced (10%),40.17799615497431,58.021119525499955,3.021119525499955,2.7479447322492994,,,,,,
Scenario Valuation,Tariff Escalation (50%),79.60213679800219,109.83794880398962,54.83794880398962,2.7479447322492994,,,,,,
Probability Weighted,Expected Value,37.591079268987805,53.20204905433449,-1.7979509456655123,,,,,,,
Base Case Projection,,,,,,2024.0,14670.415862875143,1923.2181230590095,0.13109499696773372,574.0243584512481,416.1087249874155
Base Case Projection,,,,,,2025.0,14985.956745008765,2094.8728432853995,0.13978906244895706,784.8565670892483,1091.0499641648316
Base Case Projection,,,,,,2026.0,15398.860040493884,2377.912942310122,0.1544213621045325,1399.0040645388,717.3638640404147
Base Case Projection,,,,,,2027.0,15776.753228598576,2614.39900432925,0.1657121060618556,1511.9663205490378,803.0084252209992
Base Case Projection,,,,,,2028.0,16164.077993390601,2764.292560218521,0.17101455222802217,1925.2544912912383,517.4138664264792
Base Case Projection,,,,,,2029.0,16331.099201063067,2830.213403520676,0.17330207652749083,631.0577246751469,1862.8115810620154
Base Case Projection,,,,,,2030.0,16503.454941823853,2898.0664153408607,0.17560361909411107,637.0478618626632,1914.6134278986724
Base Case Projection,,,,,,2031.0,16681.339434262787,2967.9306267320676,0.17791920357642624,643.2316561080233,1967.938552613829
Base Case Projection,,,,,,2032.0,16864.954298082746,3039.888814936424,0.1802488617050096,649.6161161246644,2022.850412112028
Base Case Projection,,,,,,2033.0,17054.508842340652,3114.027690267595,0.1825926339512343,656.2085159817871,2079.415530667774
