Company,Ticker,Year,Capacity_Mtons,Shipments_Mtons,Utilization_Pct,Source
Nucor (NUE),NUE,2023,27.0,18.55,78.0,"10-K FY2023, page 4-6"
Cleveland-Cliffs (CLF),CLF,2023,20.5,16.5,81.0,"10-K FY2023, page 6"
Steel Dynamics (STLD),STLD,2023,16.0,12.8,80.0,"10-K FY2023, page 3"
ArcelorMittal (MT),MT,2023,68.0,55.6,82.0,20-F FY2023
POSCO Holdings (PKX),PKX,2023,45.3,35.0,77.0,20-F FY2023
Ternium (TX),TX,2023,11.0,11.9,,20-F FY2023
Commercial Metals (CMC),CMC,2023,8.5,7.0,82.0,10-K FY2023 (estimated)
Gerdau (GGB),GGB,2023,12.0,10.5,88.0,20-F FY2023
Olympic Steel (ZEUS),ZEUS,2023,,,,N/A - Distributor
BlueScope (BSL),BSL,2023,8.0,6.5,81.0,Annual Report FY2023
Nippon Steel (NPSCY),NPSCY,2023,66.0,43.3,66.0,"Securities Report FY2024; WSA 2023 crude steel production"
