year,quarter,period,revenue_mm,ebit_mm,shipments_kt,realized_price,margin_pct
2021,1,2021Q1,450,146,307,1466,32.4
2021,2,2021Q2,759,284,518,1465,37.4
2021,3,2021Q3,1015,424,693,1465,41.8
2021,4,2021Q4,1043,281,712,1465,26.9
2022,1,2022Q1,848,278,503,1686,32.8
2022,2,2022Q2,985,270,585,1684,27.4
2022,3,2022Q3,925,60,549,1685,6.5
2022,4,2022Q4,1094,535,650,1683,48.9
2023,1,2023Q1,838,70,654,1281,8.4
2023,2,2023Q2,788,169,615,1281,21.4
2023,3,2023Q3,669,140,522,1282,20.9
2023,4,2023Q4,813,160,634,1282,19.7
2024,1,2024Q1,703,125,803,875,17.8
2024,2,2024Q2,601,91,687,875,15.1
2024,3,2024Q3,582,77,665,875,13.2
