year,HRC_kt,HRC_uv,CRC_kt,CRC_uv,Coated_kt,Coated_uv,Tubular_kt,Tubular_uv,total_flat_kt
2014,7009.109043,720.3895781936403,1925.49828,785.7634892304344,4579.1064670000005,1005.8931573647553,8009.648088999999,1478.8339479317667,13513.713790000002
2015,6226.710481,606.0670346750943,1771.123212,670.6002913590632,4665.850987,932.0879608279698,6510.992562,1420.1718504435914,12663.68468
2016,4470.850861,570.2149020980282,1621.391446,631.1782626735284,4471.4192379999995,853.1066252034585,4227.671920627,1220.5896549878664,10563.661544999999
2017,3478.32726493,674.3443392027127,1992.809069217,732.3968505289204,4931.850533168999,958.4330372970014,7619.254646096,1161.7733968946113,10402.986867316
2018,3810.096336,781.0929426851111,1472.978164744,809.3397556963724,4094.3441350000003,1036.9775089753173,6638.712825437,1333.7027735368522,9377.418635744001
2019,2747.674833,700.2763812845972,1201.366723,746.0221952560275,3403.850194,1044.5899329728256,5449.327495643999,1338.932310791082,7352.891750000001
2020,2218.5587880000003,608.1024299636454,866.564757,700.0987313403976,3380.997050065,970.3763450302109,3078.482712201,1332.0245323282045,6466.120595065
2021,4977.688734,981.5549396705205,1262.8827390000001,1224.6635845420324,4520.379401022,1395.268243540362,4081.670487633,1619.967141403044,10760.950874022
2022,3705.292475847,1236.0176568661002,1420.1909240000002,1398.5733949106689,4559.572164,1740.9499478205869,5573.6216938140005,2100.339560360313,9685.055563847
2023,3253.412232835,970.1841362566981,977.558985,1073.1433561525703,3489.894900269,1486.0035265246138,5220.451465626,2139.304723075478,7720.866118104001
2024,3060.380222,908.065399855404,1260.445949,1020.7386869867278,4822.8959035240005,1339.6951867194384,4433.364932304001,1817.4689341020594,9143.722074524001
