datadate,fyear,company_name,ticker,revenue,ebitda,operating_income,net_income,total_assets,total_liabilities,stockholders_equity,capx,operating_cf,long_term_debt,current_debt,cash,shares_outstanding,stock_price,total_debt,net_debt,ebitda_margin_pct,capex_pct_rev,debt_to_ebitda,market_cap,ev,ev_to_ebitda
2017-12-31,2017,CLEVELAND-CLIFFS INC,CLF,2335.3,493.7,406.0,367.0,2953.4,3397.5,-444.3,151.7,338.1,2335.1,16.9,1007.7,297.401,7.21,2352.0,1344.3,21.1,6.5,4.76,2144.26121,3488.56121,7.07
2017-12-31,2017,CLEVELAND-CLIFFS INC,CLF,,,,367.0,2953.4,,-444.3,,,,,,,7.21,0.0,0.0,,,,,,
2018-12-31,2018,CLEVELAND-CLIFFS INC,CLF,2333.4,741.6,668.6,1128.1,3529.6,3105.4,424.2,208.6,495.5,2092.9,0.0,823.2,292.612,7.69,2092.9,1269.7,31.8,8.9,2.82,2250.1862800000004,3519.8862800000006,4.75
2018-12-31,2018,CLEVELAND-CLIFFS INC,CLF,,,,1128.1,3529.6,,424.2,296.0,,,,,,7.69,0.0,0.0,,,,,,
2019-12-31,2019,CLEVELAND-CLIFFS INC,CLF,1989.9,522.6,438.5,292.8,3503.8,3145.9,357.9,639.0,567.9,2113.8,0.0,352.6,270.084,8.4,2113.8,1761.2000000000003,26.3,32.1,4.04,2268.7056000000002,4029.9056000000005,7.71
2019-12-31,2019,CLEVELAND-CLIFFS INC,CLF,,,,292.8,3503.8,,357.9,656.0,,2114.0,,,,8.4,2114.0,2114.0,,,,,,
2020-12-31,2020,CLEVELAND-CLIFFS INC,CLF,5354.0,418.0,104.0,-122.0,16771.0,13692.0,2756.0,525.0,-258.0,5845.0,144.0,112.0,477.517,14.56,5989.0,5877.0,7.8,9.8,14.33,6952.64752,12829.64752,30.69
2020-12-31,2020,CLEVELAND-CLIFFS INC,CLF,,,,-122.0,16771.0,,2018.0,525.0,,5390.0,,,,14.56,5390.0,5390.0,,,,,,
2021-12-31,2021,CLEVELAND-CLIFFS INC,CLF,20444.0,5213.0,4273.0,2988.0,18975.0,13201.0,5490.0,705.0,2785.0,5652.0,147.0,48.0,500.159,21.77,5799.0,5751.0,25.5,3.4,1.11,10888.46143,16639.46143,3.19
2021-12-31,2021,CLEVELAND-CLIFFS INC,CLF,,,,2988.0,18975.0,,5490.0,705.0,,5238.0,,,,21.77,5238.0,5238.0,,,,,,
