datadate,fyear,company_name,ticker,revenue,ebitda,operating_income,net_income,total_assets,total_liabilities,stockholders_equity,capx,operating_cf,long_term_debt,current_debt,cash,shares_outstanding,stock_price,total_debt,net_debt,ebitda_margin_pct,capex_pct_rev,debt_to_ebitda,market_cap,ev,ev_to_ebitda
2017-12-31,2017,UNITED STATES STEEL CORP,X,12250.0,1011.0,510.0,387.0,9862.0,6541.0,3320.0,505.0,802.0,2700.0,3.0,1559.0,175.221,35.19,2703.0,1144.0,8.3,4.1,2.67,6166.026989999999,7310.026989999999,7.23
2017-12-31,2017,UNITED STATES STEEL CORP,X,,,,387.0,9862.0,,3320.0,505.0,,2700.0,,,,35.19,2700.0,2700.0,,,,,,
2018-12-31,2018,UNITED STATES STEEL CORP,X,14178.0,1537.0,1016.0,1115.0,10982.0,6779.0,4202.0,1001.0,938.0,2316.0,65.0,1003.0,174.529,18.24,2381.0,1378.0,10.8,7.1,1.55,3183.4089599999998,4561.40896,2.97
2018-12-31,2018,UNITED STATES STEEL CORP,X,,,,1115.0,10982.0,,4202.0,1001.0,,2316.0,,,,18.24,2316.0,2316.0,,,,,,
2019-12-31,2019,UNITED STATES STEEL CORP,X,12937.0,566.0,-50.0,-630.0,11608.0,7515.0,4092.0,1252.0,682.0,3804.0,74.0,751.0,170.046,11.41,3878.0,3127.0,4.4,9.7,6.85,1940.22486,5067.22486,8.95
2019-12-31,2019,UNITED STATES STEEL CORP,X,,,,-630.0,11608.0,,4092.0,1252.0,,3804.0,,,,11.41,3804.0,3804.0,,,,,,
2020-12-31,2020,UNITED STATES STEEL CORP,X,9741.0,-91.0,-734.0,-1165.0,12059.0,8180.0,3786.0,725.0,138.0,4858.0,251.0,1988.0,220.432,16.77,5109.0,3121.0,-0.9,7.4,-56.14,3696.6446399999995,6817.6446399999995,-74.92
2020-12-31,2020,UNITED STATES STEEL CORP,X,,,,-1165.0,12059.0,,3786.0,725.0,,4858.0,,,,16.77,4858.0,4858.0,,,,,,
2021-12-31,2021,UNITED STATES STEEL CORP,X,20275.0,5316.0,4525.0,4174.0,17816.0,8713.0,9010.0,863.0,4090.0,3999.0,86.0,2524.0,263.813,23.81,4085.0,1561.0,26.2,4.3,0.77,6281.387529999999,7842.387529999999,1.48
2021-12-31,2021,UNITED STATES STEEL CORP,X,,,,4174.0,17816.0,,9010.0,863.0,,3999.0,,,,23.81,3999.0,3999.0,,,,,,
