date,value
2000-02-29,461.2
2000-03-31,462.3
2000-04-30,475.4
2000-05-31,481.2
2000-06-30,464.0
2000-07-31,455.3
2000-08-31,466.3
2000-09-30,464.1
2000-10-31,445.8
2000-11-30,413.1
2000-12-31,393.2
2001-01-31,405.9
2001-02-28,387.5
2001-03-31,416.0
2001-04-30,416.0
2001-05-31,427.2
2001-06-30,415.9
2001-07-31,384.7
2001-08-31,387.8
2001-09-30,382.7
2001-10-31,371.9
2001-11-30,395.3
2001-12-31,417.9
2002-01-31,410.9
2002-02-28,436.3
2002-03-31,428.4
2002-04-30,434.0
2002-05-31,429.0
2002-06-30,435.7
2002-07-31,451.6
2002-08-31,409.2
2002-09-30,393.9
2002-10-31,394.1
2002-11-30,419.4
2002-12-31,381.3
2003-01-31,420.4
2003-02-28,367.3
2003-03-31,363.1
2003-04-30,362.3
2003-05-31,373.8
2003-06-30,376.4
2003-07-31,378.8
2003-08-31,351.4
2003-09-30,383.0
2003-10-31,370.6
2003-11-30,370.2
2003-12-31,350.6
2004-01-31,348.1
2004-02-29,367.0
2004-03-31,359.4
2004-04-30,368.3
2004-05-31,350.2
2004-06-30,333.5
2004-07-31,347.0
2004-08-31,349.2
2004-09-30,345.4
2004-10-31,328.2
2004-11-30,324.1
2004-12-31,345.3
2005-01-31,348.5
2005-02-28,370.8
2005-03-31,354.8
2005-04-30,351.5
2005-05-31,350.8
2005-06-30,365.9
2005-07-31,346.5
2005-08-31,354.8
2005-09-30,350.4
2005-10-31,349.3
2005-11-30,364.8
2005-12-31,348.3
2006-01-31,374.5
2006-02-28,366.4
2006-03-31,377.7
2006-04-30,381.7
2006-05-31,366.1
2006-06-30,348.9
2006-07-31,330.8
2006-08-31,350.4
2006-09-30,354.7
2006-10-31,349.4
2006-11-30,339.3
2006-12-31,354.6
2007-01-31,340.5
2007-02-28,324.3
2007-03-31,313.6
2007-04-30,323.8
2007-05-31,313.1
2007-06-30,336.7
2007-07-31,346.0
2007-08-31,312.6
2007-09-30,293.6
2007-10-31,310.2
2007-11-30,317.7
2007-12-31,333.3
2008-01-31,328.6
2008-02-29,320.6
2008-03-31,327.5
2008-04-30,295.4
2008-05-31,295.2
2008-06-30,312.4
2008-07-31,375.4
2008-08-31,330.8
2008-09-30,320.6
2008-10-31,305.2
2008-11-30,270.9
2008-12-31,239.2
2009-01-31,107.5
2009-02-28,135.4
2009-03-31,154.0
2009-04-30,152.8
2009-05-31,148.6
2009-06-30,148.3
2009-07-31,188.6
2009-08-31,210.7
2009-09-30,239.8
2009-10-31,243.8
2009-11-30,228.7
2009-12-31,236.1
2010-01-31,231.5
2010-02-28,232.1
2010-03-31,224.0
2010-04-30,224.4
2010-05-31,251.0
2010-06-30,230.3
2010-07-31,234.5
2010-08-31,223.9
2010-09-30,222.0
2010-10-31,219.0
2010-11-30,221.7
2010-12-31,203.9
2011-01-31,198.9
2011-02-28,229.3
2011-03-31,240.3
2011-04-30,217.1
2011-05-31,230.2
2011-06-30,224.7
2011-07-31,227.9
2011-08-31,257.7
2011-09-30,246.5
2011-10-31,283.6
2011-11-30,284.2
2011-12-31,306.3
2012-01-31,327.1
2012-02-29,328.3
2012-03-31,324.3
2012-04-30,345.2
2012-05-31,343.1
2012-06-30,343.0
2012-07-31,361.4
2012-08-31,340.3
2012-09-30,343.8
2012-10-31,344.6
2012-11-30,353.5
2012-12-31,342.6
2013-01-31,365.2
2013-02-28,364.6
2013-03-31,379.7
2013-04-30,363.1
2013-05-31,365.7
2013-06-30,375.2
2013-07-31,312.6
2013-08-31,357.0
2013-09-30,372.3
2013-10-31,361.6
2013-11-30,367.0
2013-12-31,368.9
2014-01-31,352.3
2014-02-28,359.6
2014-03-31,347.3
2014-04-30,332.2
2014-05-31,331.6
2014-06-30,366.5
2014-07-31,382.3
2014-08-31,355.6
2014-09-30,354.1
2014-10-31,336.9
2014-11-30,367.8
2014-12-31,370.3
2015-01-31,355.9
2015-02-28,320.6
2015-03-31,353.9
2015-04-30,353.9
2015-05-31,374.0
2015-06-30,340.5
2015-07-31,395.1
2015-08-31,348.1
2015-09-30,343.8
2015-10-31,339.4
2015-11-30,318.1
2015-12-31,318.6
2016-01-31,333.9
2016-02-29,330.4
2016-03-31,328.0
2016-04-30,321.6
2016-05-31,311.5
2016-06-30,346.1
2016-07-31,329.5
2016-08-31,332.4
2016-09-30,327.3
2016-10-31,314.4
2016-11-30,312.7
2016-12-31,297.8
2017-01-31,279.3
2017-02-28,278.1
2017-03-31,264.1
2017-04-30,287.9
2017-05-31,283.7
2017-06-30,257.2
2017-07-31,212.1
2017-08-31,252.9
2017-09-30,225.1
2017-10-31,225.8
2017-11-30,222.1
2017-12-31,219.9
2018-01-31,217.8
2018-02-28,246.3
2018-03-31,259.3
2018-04-30,249.4
2018-05-31,233.1
