date,value
1990-01-31,16.0
1990-02-28,14.1
1990-03-31,14.2
1990-04-30,14.0
1990-05-31,13.7
1990-06-30,13.9
1990-07-31,13.8
1990-08-31,13.6
1990-09-30,14.0
1990-10-31,13.5
1990-11-30,12.9
1990-12-31,12.7
1991-01-31,11.6
1991-02-28,12.2
1991-03-31,12.6
1991-04-30,10.4
1991-05-31,10.9
1991-06-30,11.1
1991-07-31,11.3
1991-08-31,11.0
1991-09-30,11.5
1991-10-31,10.8
1991-11-30,12.0
1991-12-31,11.3
1992-01-31,12.4
1992-02-29,12.7
1992-03-31,12.6
1992-04-30,12.3
1992-05-31,12.9
1992-06-30,13.3
1992-07-31,12.6
1992-08-31,12.6
1992-09-30,13.1
1992-10-31,13.4
1992-11-30,13.0
1992-12-31,13.5
1993-01-31,13.2
1993-02-28,12.7
1993-03-31,12.0
1993-04-30,14.3
1993-05-31,14.2
1993-06-30,14.2
1993-07-31,14.2
1993-08-31,13.3
1993-09-30,13.7
1993-10-31,14.6
1993-11-30,14.6
1993-12-31,14.7
1994-01-31,15.1
1994-02-28,15.3
1994-03-31,15.0
1994-04-30,15.7
1994-05-31,14.3
1994-06-30,14.8
1994-07-31,14.5
1994-08-31,15.1
1994-09-30,14.9
1994-10-31,15.6
1994-11-30,15.5
1994-12-31,15.2
1995-01-31,14.4
1995-02-28,14.5
1995-03-31,14.9
1995-04-30,14.0
1995-05-31,14.5
1995-06-30,15.1
1995-07-31,14.4
1995-08-31,15.0
1995-09-30,15.0
1995-10-31,14.5
1995-11-30,15.1
1995-12-31,15.9
1996-01-31,14.5
1996-02-29,15.2
1996-03-31,15.7
1996-04-30,15.2
1996-05-31,15.7
1996-06-30,14.9
1996-07-31,14.7
1996-08-31,15.1
1996-09-30,15.2
1996-10-31,15.0
1996-11-30,15.4
1996-12-31,14.8
1997-01-31,15.4
1997-02-28,15.0
1997-03-31,15.5
1997-04-30,14.7
1997-05-31,14.8
1997-06-30,14.2
1997-07-31,15.2
1997-08-31,15.8
1997-09-30,14.7
1997-10-31,15.1
1997-11-30,15.5
1997-12-31,16.1
1998-01-31,14.4
1998-02-28,14.9
1998-03-31,15.0
1998-04-30,15.6
1998-05-31,16.7
1998-06-30,16.4
1998-07-31,14.2
1998-08-31,14.4
1998-09-30,15.9
1998-10-31,16.7
1998-11-30,15.7
1998-12-31,17.0
1999-01-31,16.1
1999-02-28,16.6
1999-03-31,16.4
1999-04-30,16.5
1999-05-31,17.1
1999-06-30,16.9
1999-07-31,17.2
1999-08-31,17.2
1999-09-30,17.2
1999-10-31,17.2
1999-11-30,17.1
1999-12-31,17.9
2000-01-31,18.3
2000-02-29,18.99
2000-03-31,17.98
2000-04-30,17.61
2000-05-31,17.47
2000-06-30,17.18
2000-07-31,16.86
2000-08-31,16.92
2000-09-30,18.24
2000-10-31,17.28
2000-11-30,16.33
2000-12-31,15.73
2001-01-31,17.32
2001-02-28,17.49
2001-03-31,16.92
2001-04-30,16.59
2001-05-31,16.56
2001-06-30,17.15
2001-07-31,16.17
2001-08-31,16.05
2001-09-30,16.09
2001-10-31,21.76
2001-11-30,17.78
2001-12-31,16.2
2002-01-31,16.26
2002-02-28,17.04
2002-03-31,16.81
2002-04-30,17.39
2002-05-31,15.87
2002-06-30,16.64
2002-07-31,17.81
2002-08-31,18.1
2002-09-30,16.32
2002-10-31,15.94
2002-11-30,16.22
2002-12-31,17.62
2003-01-31,16.45
2003-02-28,15.87
2003-03-31,16.28
2003-04-30,16.47
2003-05-31,16.18
2003-06-30,16.71
2003-07-31,16.81
2003-08-31,17.95
2003-09-30,16.97
2003-10-31,16.18
2003-11-30,17.23
2003-12-31,17.03
2004-01-31,16.35
2004-02-29,16.67
2004-03-31,16.89
2004-04-30,16.53
2004-05-31,17.81
2004-06-30,15.79
2004-07-31,16.9
2004-08-31,16.75
2004-09-30,17.47
2004-10-31,17.09
2004-11-30,16.95
2004-12-31,17.67
2005-01-31,16.4
2005-02-28,16.44
2005-03-31,16.97
2005-04-30,17.32
2005-05-31,16.97
2005-06-30,18.0
2005-07-31,20.65
2005-08-31,16.95
2005-09-30,16.47
2005-10-31,14.89
2005-11-30,16.07
2005-12-31,16.73
2006-01-31,17.63
2006-02-28,16.57
2006-03-31,16.46
2006-04-30,16.62
2006-05-31,16.22
2006-06-30,16.4
2006-07-31,17.17
2006-08-31,15.95
2006-09-30,16.47
2006-10-31,16.38
2006-11-30,16.18
2006-12-31,16.64
2007-01-31,16.44
2007-02-28,16.82
2007-03-31,16.07
2007-04-30,16.28
2007-05-31,16.35
2007-06-30,15.88
2007-07-31,15.55
2007-08-31,16.11
2007-09-30,16.26
2007-10-31,16.19
2007-11-30,16.1
2007-12-31,15.78
2008-01-31,15.45
2008-02-29,15.2
2008-03-31,14.82
2008-04-30,14.28
2008-05-31,14.36
2008-06-30,14.07
2008-07-31,12.73
2008-08-31,13.83
2008-09-30,12.69
2008-10-31,10.7
2008-11-30,10.29
2008-12-31,10.18
2009-01-31,9.6
2009-02-28,9.04
2009-03-31,9.57
2009-04-30,9.22
2009-05-31,10.01
2009-06-30,9.98
2009-07-31,11.4
2009-08-31,14.58
2009-09-30,9.36
2009-10-31,10.4
2009-11-30,10.85
2009-12-31,11.1
2010-01-31,10.7
2010-02-28,10.12
2010-03-31,11.57
2010-04-30,11.26
2010-05-31,11.84
2010-06-30,11.41
2010-07-31,11.74
2010-08-31,11.83
2010-09-30,11.67
2010-10-31,12.24
2010-11-30,12.12
2010-12-31,12.43
2011-01-31,12.49
2011-02-28,12.8
2011-03-31,12.85
2011-04-30,13.07
2011-05-31,11.99
2011-06-30,11.68
2011-07-31,12.4
2011-08-31,12.4
2011-09-30,13.01
2011-10-31,13.27
2011-11-30,13.36
2011-12-31,13.46
2012-01-31,14.0
2012-02-29,14.58
2012-03-31,14.22
2012-04-30,14.47
2012-05-31,14.05
2012-06-30,14.13
2012-07-31,14.11
2012-08-31,14.15
2012-09-30,14.81
2012-10-31,14.48
2012-11-30,15.08
2012-12-31,15.22
2013-01-31,15.41
2013-02-28,15.57
2013-03-31,15.5
2013-04-30,15.43
2013-05-31,15.29
2013-06-30,15.74
2013-07-31,15.69
2013-08-31,15.65
2013-09-30,15.28
2013-10-31,15.27
2013-11-30,16.04
2013-12-31,15.52
2014-01-31,15.35
2014-02-28,15.6
2014-03-31,16.79
2014-04-30,16.29
2014-05-31,16.69
2014-06-30,16.97
2014-07-31,16.53
2014-08-31,17.22
2014-09-30,16.24
2014-10-31,16.26
2014-11-30,16.79
2014-12-31,16.71
2015-01-31,16.66
2015-02-28,16.4
2015-03-31,17.5
2015-04-30,16.93
2015-05-31,17.69
2015-06-30,17.29
2015-07-31,17.5
2015-08-31,17.76
2015-09-30,17.97
2015-10-31,17.91
2015-11-30,17.97
2015-12-31,17.19
2016-01-31,17.64
2016-02-29,17.51
2016-03-31,16.77
2016-04-30,17.49
2016-05-31,17.22
2016-06-30,16.99
2016-07-31,17.75
2016-08-31,17.13
2016-09-30,17.65
2016-10-31,17.8
2016-11-30,17.56
2016-12-31,18.05
2017-01-31,17.34
2017-02-28,17.32
2017-03-31,16.72
2017-04-30,16.97
2017-05-31,16.7
2017-06-30,16.59
2017-07-31,16.69
2017-08-31,16.03
2017-09-30,18.47
2017-10-31,17.98
2017-11-30,17.4
2017-12-31,17.76
2018-01-31,17.07
2018-02-28,16.96
2018-03-31,17.4
2018-04-30,17.07
2018-05-31,16.81
2018-06-30,17.38
2018-07-31,16.68
2018-08-31,16.6
2018-09-30,17.4
2018-10-31,17.5
2018-11-30,17.4
2018-12-31,17.5
2019-01-31,16.6
2019-02-28,16.56
2019-03-31,17.5
2019-04-30,16.4
2019-05-31,17.3
2019-06-30,17.3
2019-07-31,16.82
2019-08-31,16.97
2019-09-30,17.19
2019-10-31,16.55
2019-11-30,17.09
2019-12-31,16.7
2020-01-31,16.84
2020-02-29,16.83
2020-03-31,11.37
2020-04-30,8.58
2020-05-31,12.21
2020-06-30,13.05
2020-07-31,14.52
2020-08-31,15.19
2020-09-30,16.34
2020-10-31,16.21
2020-11-30,15.55
2020-12-31,16.27
2021-01-31,16.63
2021-02-28,15.67
2021-03-31,17.75
2021-04-30,18.51
2021-05-31,16.99
2021-06-30,15.36
2021-07-31,14.75
2021-08-31,13.06
2021-09-30,12.18
2021-10-31,12.99
2021-11-30,12.86
2021-12-31,12.44
2022-01-31,15.04
2022-02-28,14.07
2022-03-31,13.33
2022-04-30,14.29
2022-05-31,12.68
2022-06-30,13.0
2022-07-31,13.35
2022-08-31,13.18
2022-09-30,13.49
2022-10-31,14.9
2022-11-30,14.14
2022-12-31,13.31
2023-01-31,15.74
2023-02-28,14.89
2023-03-31,14.82
2023-04-30,15.91
2023-05-31,15.05
2023-06-30,15.68
2023-07-31,15.74
2023-08-31,15.04
2023-09-30,15.67
2023-10-31,15.5
2023-11-30,15.32
2023-12-31,15.83
2024-01-31,15.0
2024-02-29,15.81
2024-03-31,15.49
2024-04-30,15.74
2024-05-31,15.9
2024-06-30,15.29
2024-07-31,15.82
2024-08-31,15.13
2024-09-30,15.77
2024-10-31,16.04
2024-11-30,16.5
2024-12-31,16.8
2025-01-31,15.6
2025-02-28,16.0
2025-03-31,17.77
2025-04-30,17.27
2025-05-31,15.65
2025-06-30,15.34
2025-07-31,16.41
2025-08-31,16.07
2025-09-30,16.39
2025-10-31,15.32
2025-11-30,15.6
2025-12-31,16.02
2026-01-31,14.85
