date,value
1995-01-09,93.0
1995-01-16,95.4
1995-01-23,93.3
1995-01-30,93.8
1995-02-06,95.0
1995-02-13,91.1
1995-02-20,94.5
1995-02-27,95.3
1995-03-06,93.0
1995-03-13,93.8
1995-03-20,96.9
1995-03-27,94.8
1995-04-03,92.2
1995-04-10,92.9
1995-04-17,91.8
1995-04-24,94.6
1995-05-01,92.9
1995-05-08,91.0
1995-05-15,93.9
1995-05-22,92.5
1995-05-29,88.9
1995-06-05,89.7
1995-06-12,89.6
1995-06-19,91.9
1995-06-26,90.7
1995-07-03,86.5
1995-07-10,88.8
1995-07-17,89.1
1995-07-24,86.0
1995-07-31,87.7
1995-08-07,88.2
1995-08-14,86.7
1995-08-21,88.1
1995-08-28,90.2
1995-09-04,91.8
1995-09-11,90.9
1995-09-18,90.5
1995-09-25,89.5
1995-10-02,89.5
1995-10-16,85.2
1995-10-30,88.7
1995-11-06,85.8
1995-11-13,87.2
1995-11-20,86.4
1995-11-27,86.8
1995-12-04,89.0
1995-12-11,86.6
1995-12-18,86.6
1995-12-25,82.8
1996-01-01,83.7
1996-01-08,88.6
1996-01-15,91.9
1996-01-22,92.1
1996-01-29,92.3
1996-02-05,92.3
1996-02-12,89.6
1996-02-19,94.8
1996-02-26,95.7
1996-03-04,94.8
1996-03-11,95.5
1996-03-18,92.9
1996-03-25,95.4
1996-04-01,95.6
1996-04-08,92.5
1996-04-15,89.2
1996-04-22,91.1
1996-04-29,91.7
1996-05-06,89.0
1996-05-13,89.3
1996-05-20,89.9
1996-05-27,89.4
1996-06-03,91.4
1996-06-10,92.9
1996-06-17,92.7
1996-06-24,89.6
1996-07-01,89.7
1996-07-08,89.7
1996-07-15,86.7
1996-07-22,86.7
1996-07-29,87.8
1996-08-05,90.4
1996-08-12,86.5
1996-08-19,87.2
1996-08-26,86.4
1996-09-02,87.2
1996-09-09,88.7
1996-09-16,88.8
1996-09-23,86.8
1996-09-30,88.1
1996-10-07,88.8
1996-10-14,90.1
1996-10-21,84.7
1996-10-28,86.8
1996-11-04,87.1
1996-11-11,87.7
1996-11-18,85.3
1996-11-25,85.7
1996-12-02,87.1
1996-12-09,86.2
1996-12-16,87.7
1996-12-23,89.7
1996-12-30,89.5
1997-01-06,87.9
1997-01-13,86.5
1997-01-20,84.5
1997-01-27,86.4
1997-02-03,87.3
1997-02-10,87.9
1997-02-17,89.8
1997-02-24,91.4
1997-03-03,91.4
1997-03-10,92.4
1997-03-17,90.9
1997-03-24,91.6
1997-03-31,92.9
1997-04-07,92.7
1997-04-14,89.0
1997-04-21,89.0
1997-04-28,88.5
1997-05-05,90.9
1997-05-12,90.1
1997-05-19,88.6
1997-05-26,92.7
1997-06-02,92.0
1997-06-09,89.7
1997-06-16,90.0
1997-06-23,92.5
1997-06-30,87.9
1997-07-07,90.0
1997-07-14,89.2
1997-07-21,88.8
1997-07-28,86.0
1997-08-04,83.4
1997-08-11,86.4
1997-08-18,88.0
1997-08-25,87.9
1997-09-01,94.2
1997-09-08,94.1
1997-09-15,94.3
1997-09-22,93.5
1997-09-29,97.4
1997-10-06,91.9
1997-10-13,91.8
1997-10-20,91.2
1997-10-27,89.6
1997-11-03,91.0
1997-11-10,92.2
1997-11-17,91.0
1997-11-24,91.9
1997-12-01,94.1
1997-12-08,91.1
1997-12-15,90.9
1997-12-22,92.0
1997-12-29,91.2
1998-01-05,95.0
1998-01-12,91.6
1998-01-19,92.8
1998-01-26,93.1
1998-02-02,94.3
1998-02-09,90.8
1998-02-16,93.5
1998-02-23,95.6
1998-03-02,96.1
1998-03-09,92.9
1998-03-16,88.1
1998-03-23,94.3
1998-03-30,94.1
1998-04-06,92.6
1998-04-13,90.5
1998-04-20,89.4
1998-04-27,91.5
1998-05-04,92.7
1998-05-11,91.3
1998-05-18,88.8
1998-05-25,89.9
1998-06-01,91.9
1998-06-08,90.5
1998-06-15,91.1
1998-06-22,86.0
1998-06-29,78.6
1998-07-06,81.9
1998-07-13,83.6
1998-07-20,81.7
1998-07-27,83.8
1998-08-03,86.0
1998-08-10,88.5
1998-08-17,88.2
1998-08-24,89.2
1998-08-31,84.9
1998-09-07,87.9
1998-09-14,86.3
1998-09-21,79.0
1998-09-28,80.3
1998-10-05,81.7
1998-10-12,78.3
1998-10-19,83.1
1998-10-26,82.1
1998-11-02,79.4
1998-11-09,76.1
1998-11-16,77.1
1998-11-23,78.2
1998-11-30,71.8
1998-12-07,72.2
