date,value
2015-09-07,570.0
2015-09-14,570.0
2015-09-21,570.0
2015-09-28,560.0
2015-10-05,550.0
2015-10-12,540.0
2015-10-19,530.0
2015-10-26,530.0
2015-11-02,530.0
2015-11-09,525.0
2015-11-16,500.0
2015-11-23,500.0
2015-11-30,500.0
2015-12-07,500.0
2015-12-14,510.0
2015-12-21,515.0
2015-12-28,515.0
2016-01-04,520.0
2016-01-11,520.0
2016-01-18,540.0
2016-01-25,550.0
2016-02-01,560.0
2016-02-08,560.0
2016-02-15,560.0
2016-02-22,560.0
2016-02-29,560.0
2016-03-07,570.0
2016-03-14,585.0
2016-03-21,600.0
2016-03-28,620.0
2016-04-04,630.0
2016-04-11,650.0
2016-04-18,700.0
2016-04-25,710.0
2016-05-02,740.0
2016-05-09,810.0
2016-05-16,810.0
2016-05-23,825.0
2016-05-30,835.0
2016-06-06,850.0
2016-06-13,850.0
2016-06-20,850.0
2016-06-27,850.0
2016-07-04,850.0
2016-07-11,850.0
2016-07-18,835.0
2016-07-25,835.0
2016-08-01,830.0
2016-08-08,830.0
2016-08-15,815.0
2016-08-22,815.0
2016-08-29,800.0
2016-09-05,790.0
2016-09-12,790.0
2016-09-19,745.0
2016-09-26,730.0
2016-10-03,730.0
2016-10-10,720.0
2016-10-17,705.0
2016-10-24,705.0
2016-10-31,715.0
2016-11-07,725.0
2016-11-14,730.0
2016-11-21,770.0
2016-11-28,770.0
2016-12-05,810.0
2016-12-12,820.0
2016-12-19,820.0
2016-12-26,830.0
2017-01-02,830.0
2017-01-09,840.0
2017-01-16,840.0
2017-01-23,860.0
2017-01-30,860.0
2017-02-06,860.0
2017-02-13,855.0
2017-02-20,855.0
2017-02-27,860.0
2017-03-06,860.0
2017-03-13,870.0
2017-03-20,870.0
2017-03-27,870.0
2017-04-03,870.0
2017-04-10,870.0
2017-04-17,870.0
2017-04-24,860.0
2017-05-01,855.0
2017-05-08,840.0
2017-05-15,840.0
2017-05-22,830.0
2017-05-29,815.0
2017-06-05,790.0
2017-06-12,790.0
2017-06-19,800.0
2017-06-26,810.0
2017-07-03,810.0
2017-07-10,810.0
2017-07-17,815.0
2017-07-24,830.0
2017-07-31,830.0
2017-08-07,830.0
2017-08-14,830.0
2017-08-21,845.0
2017-08-28,845.0
2017-09-04,845.0
2017-09-11,845.0
2017-09-18,830.0
2017-09-25,815.0
2017-10-02,815.0
2017-10-09,815.0
2017-10-16,810.0
2017-10-23,810.0
2017-10-30,810.0
2017-11-06,805.0
2017-11-13,805.0
2017-11-20,820.0
2017-11-27,820.0
2017-12-04,820.0
2017-12-11,820.0
2017-12-18,845.0
