year,vehicle_type,units,total_production,market_share_pct,is_ev
2019,BEV,233822,16952912,1.38,True
2019,HEV,399444,16952912,2.36,True
2019,ICE,16149049,16952912,95.26,False
2019,Other,84806,16952912,0.5,False
2019,PHEV,85791,16952912,0.51,True
2020,BEV,238540,14472032,1.65,True
2020,HEV,455067,14472032,3.14,True
2020,ICE,13636971,14472032,94.23,False
2020,Other,72405,14472032,0.5,False
2020,PHEV,69049,14472032,0.48,True
2021,BEV,459474,14946973,3.07,True
2021,HEV,799046,14946973,5.35,True
2021,ICE,13437552,14946973,89.9,False
2021,Other,74784,14946973,0.5,False
2021,PHEV,176117,14946973,1.18,True
2022,BEV,747982,13754339,5.44,True
2022,HEV,766412,13754339,5.57,True
2022,ICE,11987733,13754339,87.16,False
2022,Other,68801,13754339,0.5,False
2022,PHEV,183411,13754339,1.33,True
2023,BEV,1164638,15502479,7.51,True
2023,HEV,1175456,15502479,7.58,True
2023,ICE,12791332,15502479,82.51,False
2023,Other,77475,15502479,0.5,False
2023,PHEV,293578,15502479,1.89,True
2024,BEV,1250036,15858418,7.88,True
2024,HEV,1609049,15858418,10.15,True
2024,ICE,12585958,15858418,79.36,False
2024,Other,99699,15858418,0.63,False
2024,PHEV,313676,15858418,1.98,True
2025,BEV,1313394,16017003,8.2,True
2025,HEV,1695133,16017003,10.58,True
2025,ICE,12503940,16017003,78.07,False
2025,Other,160170,16017003,1.0,False
2025,PHEV,344366,16017003,2.15,True
2026,BEV,1215330,16097087,7.55,True
2026,HEV,1894091,16097087,11.77,True
2026,ICE,12424268,16097087,77.18,False
2026,Other,160971,16097087,1.0,False
2026,PHEV,402427,16097087,2.5,True
2027,BEV,1441826,16177573,8.91,True
2027,HEV,2094996,16177573,12.95,True
2027,ICE,12058358,16177573,74.54,False
2027,Other,161776,16177573,1.0,False
2027,PHEV,420617,16177573,2.6,True
2028,BEV,1666401,16218015,10.27,True
2028,HEV,2292146,16218015,14.13,True
2028,ICE,11659402,16218015,71.89,False
2028,Other,162180,16218015,1.0,False
2028,PHEV,437886,16218015,2.7,True
2029,BEV,1892090,16258562,11.64,True
2029,HEV,2490270,16258562,15.32,True
2029,ICE,11258376,16258562,69.25,False
2029,Other,162586,16258562,1.0,False
2029,PHEV,455240,16258562,2.8,True
2030,BEV,2118897,16299208,13.0,True
2030,HEV,2689369,16299208,16.5,True
2030,ICE,10855273,16299208,66.6,False
2030,Other,162992,16299208,1.0,False
2030,PHEV,472677,16299208,2.9,True
