date,value
2014-05-12,437.5
2014-05-19,432.5
2014-05-26,432.5
2014-06-02,432.5
2014-06-09,422.5
2014-06-16,422.5
2014-06-23,422.5
2014-06-30,422.5
2014-07-07,422.5
2014-07-14,417.5
2014-07-21,417.5
2014-07-28,417.5
2014-08-04,417.5
2014-08-11,415.0
2014-08-18,415.0
2014-08-25,415.0
2014-09-01,415.0
2014-09-08,415.0
2014-09-15,415.0
2014-09-22,415.0
2014-09-29,427.5
2014-10-06,427.5
2014-10-13,427.5
2014-10-20,427.5
2014-10-27,427.5
2014-11-03,427.5
2014-11-10,427.5
2014-11-17,427.5
2014-11-24,427.5
2014-12-01,427.5
2014-12-08,427.5
2014-12-15,427.5
2014-12-22,427.5
2014-12-29,397.5
2015-01-05,397.5
2015-01-12,397.5
2015-01-19,397.5
2015-01-26,397.5
2015-02-02,395.0
2015-02-09,412.5
2015-02-16,412.5
2015-02-23,412.5
2015-03-02,412.5
2015-03-09,412.5
2015-03-16,410.0
2015-03-23,410.0
2015-03-30,410.0
2015-04-06,410.0
2015-04-13,410.0
2015-04-20,395.0
2015-04-27,395.0
2015-05-04,395.0
2015-05-11,390.0
2015-05-18,390.0
2015-05-25,390.0
2015-06-01,390.0
2015-06-08,385.0
2015-06-15,385.0
2015-06-22,385.0
2015-06-29,385.0
2015-07-06,385.0
2015-07-13,390.0
2015-07-20,390.0
2015-07-27,390.0
2015-08-03,390.0
2015-08-10,390.0
2015-08-17,390.0
2015-08-24,390.0
2015-08-31,390.0
2015-09-07,380.0
2015-09-14,380.0
2015-09-21,380.0
2015-09-28,365.0
2015-10-05,365.0
2015-10-12,365.0
2015-10-19,365.0
2015-10-26,355.0
2015-11-02,355.0
2015-11-09,355.0
2015-11-16,352.5
2015-11-23,355.0
2015-11-30,345.0
2015-12-07,325.0
2015-12-14,322.5
2015-12-21,317.5
2015-12-28,317.5
2016-01-04,317.5
2016-01-11,317.5
2016-01-18,322.5
2016-01-25,322.5
2016-02-01,325.0
2016-02-08,322.5
2016-02-15,322.5
2016-02-22,322.5
2016-02-29,322.5
2016-03-07,335.0
2016-03-14,335.0
2016-03-21,335.0
2016-03-28,345.0
2016-04-04,355.0
2016-04-11,370.0
2016-04-18,370.0
2016-04-25,415.0
2016-05-02,440.0
2016-05-09,445.0
2016-05-16,450.0
2016-05-23,450.0
2016-05-30,450.0
2016-06-06,450.0
2016-06-13,440.0
2016-06-20,440.0
2016-06-27,440.0
2016-07-04,440.0
2016-07-11,440.0
2016-07-18,440.0
2016-07-25,440.0
2016-08-01,440.0
2016-08-08,440.0
2016-08-15,440.0
2016-08-22,440.0
2016-08-29,440.0
2016-09-05,455.0
2016-09-12,460.0
2016-09-19,455.0
2016-09-26,450.0
2016-10-03,460.0
2016-10-10,455.0
2016-10-17,480.0
2016-10-24,480.0
2016-10-31,480.0
2016-11-07,480.0
2016-11-14,525.0
2016-11-21,525.0
2016-11-28,547.5
2016-12-05,570.0
2016-12-12,570.0
2016-12-19,570.0
2016-12-26,570.0
2017-01-02,570.0
2017-01-09,570.0
2017-01-16,580.0
2017-01-23,580.0
2017-01-27,580.0
2017-01-30,580.0
2017-02-03,580.0
2017-02-06,580.0
2017-02-10,580.0
2017-02-13,580.0
2017-02-17,580.0
2017-02-20,585.0
2017-02-24,585.0
2017-02-27,585.0
2017-03-03,585.0
2017-03-06,580.0
2017-03-10,580.0
2017-03-13,580.0
2017-03-17,580.0
2017-03-20,585.0
2017-03-24,585.0
2017-03-27,585.0
2017-03-31,585.0
2017-04-03,575.0
2017-04-07,575.0
2017-04-10,575.0
2017-04-14,575.0
2017-04-17,560.0
2017-04-21,560.0
2017-04-24,550.0
2017-04-28,550.0
2017-05-01,520.0
2017-05-05,520.0
2017-05-08,520.0
2017-05-12,520.0
2017-05-15,515.0
2017-05-19,515.0
2017-05-22,515.0
2017-05-26,515.0
2017-05-29,515.0
2017-06-02,515.0
2017-06-05,515.0
2017-06-09,515.0
2017-06-12,510.0
2017-06-16,510.0
2017-06-19,510.0
2017-06-23,510.0
2017-06-26,510.0
2017-06-30,510.0
2017-07-03,500.0
2017-07-07,500.0
2017-07-10,510.0
2017-07-14,510.0
2017-07-17,520.0
2017-07-21,520.0
2017-07-24,515.0
2017-07-28,515.0
2017-07-31,515.0
2017-08-04,515.0
2017-08-07,515.0
2017-08-11,515.0
2017-08-14,515.0
2017-08-18,515.0
2017-08-21,530.0
2017-08-25,530.0
2017-08-28,530.0
2017-09-04,535.0
2017-09-08,535.0
2017-09-11,545.0
2017-09-15,545.0
2017-09-18,545.0
2017-09-22,545.0
2017-09-25,540.0
2017-09-29,540.0
2017-10-02,535.0
2017-10-09,535.0
2017-10-16,535.0
2017-10-23,535.0
2017-10-27,535.0
2017-10-30,535.0
2017-11-03,535.0
2017-11-06,535.0
2017-11-10,535.0
2017-11-13,545.0
2017-11-17,545.0
2017-11-20,545.0
2017-11-24,545.0
2017-11-27,550.0
2017-12-01,550.0
2017-12-04,550.0
2017-12-08,550.0
2017-12-11,550.0
2017-12-15,550.0
2017-12-18,560.0
2017-12-22,560.0
2017-12-25,560.0
2017-12-29,560.0
2018-01-01,560.0
2018-01-05,560.0
2018-01-08,565.0
2018-01-12,565.0
2018-01-15,565.0
2018-01-19,565.0
2018-01-22,575.0
2018-01-26,575.0
2018-01-29,575.0
2018-02-02,575.0
2018-02-05,565.0
2018-02-09,565.0
2018-02-12,600.0
2018-02-16,600.0
2018-02-19,600.0
2018-02-23,600.0
2018-02-26,575.0
2018-03-02,575.0
2018-03-05,580.0
2018-03-09,580.0
2018-03-12,580.0
2018-03-16,580.0
2018-03-19,580.0
2018-03-23,580.0
2018-03-26,580.0
2018-03-30,580.0
2018-04-02,580.0
2018-04-06,580.0
2018-04-09,580.0
2018-04-13,580.0
2018-04-16,585.0
2018-04-20,585.0
2018-04-23,585.0
2018-04-27,585.0
2018-04-30,585.0
2018-05-04,585.0
2018-05-07,580.0
2018-05-11,580.0
2018-05-14,565.0
2018-05-18,565.0
2018-05-21,570.0
2018-05-25,570.0
2018-05-28,570.0
2018-06-01,570.0
2018-06-04,570.0
2018-06-08,570.0
2018-06-11,560.0
