date,value
2015-09-07,450.0
2015-09-14,440.0
2015-09-21,440.0
2015-09-28,430.0
2015-10-05,420.0
2015-10-12,420.0
2015-10-19,405.0
2015-10-26,400.0
2015-11-02,390.0
2015-11-09,390.0
2015-11-16,380.0
2015-11-23,370.0
2015-11-30,370.0
2015-12-07,370.0
2015-12-14,390.0
2015-12-21,400.0
2015-12-28,400.0
2016-01-04,400.0
2016-01-11,400.0
2016-01-18,420.0
2016-01-25,420.0
2016-02-01,420.0
2016-02-08,420.0
2016-02-15,420.0
2016-02-22,420.0
2016-02-29,420.0
2016-03-07,425.0
2016-03-14,430.0
2016-03-21,450.0
2016-03-28,450.0
2016-04-04,460.0
2016-04-11,490.0
2016-04-18,510.0
2016-04-25,515.0
2016-05-02,580.0
2016-05-09,610.0
2016-05-16,610.0
2016-05-23,625.0
2016-05-30,635.0
2016-06-06,640.0
2016-06-13,640.0
2016-06-20,640.0
2016-06-27,640.0
2016-07-04,640.0
2016-07-11,640.0
2016-07-18,625.0
2016-07-25,625.0
2016-08-01,625.0
2016-08-08,625.0
2016-08-15,595.0
2016-08-22,595.0
2016-08-29,595.0
2016-09-05,580.0
2016-09-12,570.0
2016-09-19,555.0
2016-09-26,520.0
2016-10-03,515.0
2016-10-10,495.0
2016-10-17,485.0
2016-10-24,485.0
2016-10-31,500.0
2016-11-07,510.0
2016-11-14,520.0
2016-11-21,550.0
2016-11-28,550.0
2016-12-05,590.0
2016-12-12,600.0
2016-12-19,600.0
2016-12-26,610.0
2017-01-02,610.0
2017-01-09,630.0
2017-01-16,630.0
2017-01-23,640.0
2017-01-30,640.0
2017-02-06,640.0
2017-02-13,635.0
2017-02-20,635.0
2017-02-27,640.0
2017-03-06,640.0
2017-03-13,660.0
2017-03-20,660.0
2017-03-27,660.0
2017-04-03,660.0
2017-04-10,660.0
2017-04-17,660.0
2017-04-24,650.0
2017-05-01,645.0
2017-05-08,635.0
2017-05-15,635.0
2017-05-22,620.0
2017-05-29,610.0
2017-06-05,590.0
2017-06-12,590.0
2017-06-19,605.0
2017-06-26,610.0
2017-07-03,610.0
2017-07-10,610.0
2017-07-17,615.0
2017-07-24,630.0
2017-07-31,630.0
2017-08-07,630.0
2017-08-14,630.0
2017-08-21,640.0
2017-08-28,640.0
2017-09-04,640.0
2017-09-11,640.0
2017-09-18,630.0
2017-09-25,620.0
2017-10-02,620.0
2017-10-09,620.0
2017-10-16,610.0
2017-10-23,610.0
2017-10-30,610.0
2017-11-06,625.0
2017-11-13,625.0
2017-11-20,640.0
2017-11-27,640.0
2017-12-04,640.0
2017-12-11,640.0
2017-12-18,660.0
2017-12-25,660.0
2018-01-01,660.0
2018-01-08,680.0
2018-01-15,695.0
2018-01-22,705.0
2018-01-29,710.0
2018-02-05,735.0
2018-02-12,735.0
2018-02-19,750.0
2018-02-26,780.0
2018-03-05,820.0
2018-03-12,875.0
2018-03-19,875.0
2018-03-26,875.0
2018-04-02,885.0
2018-04-09,885.0
2018-04-16,885.0
2018-04-23,910.0
2018-04-30,915.0
2018-05-07,915.0
2018-05-14,915.0
2018-05-21,915.0
2018-05-28,915.0
2018-06-04,915.0
2018-06-11,915.0
2018-06-18,915.0
2018-06-25,920.0
2018-07-02,930.0
2018-07-09,930.0
2018-07-16,930.0
2018-07-23,930.0
2018-07-30,930.0
2018-08-06,930.0
2018-08-13,910.0
2018-08-20,900.0
2018-08-27,890.0
2018-09-03,890.0
2018-09-10,890.0
2018-09-17,865.0
2018-09-24,865.0
2018-10-01,850.0
2018-10-08,855.0
2018-10-15,860.0
2018-10-22,860.0
2018-10-29,860.0
2018-11-05,860.0
2018-11-12,840.0
2018-11-19,830.0
2018-11-26,810.0
2018-12-03,780.0
2018-12-10,780.0
2018-12-17,770.0
2018-12-24,760.0
2018-12-31,750.0
2019-01-07,705.0
2019-01-14,710.0
2019-01-21,710.0
2019-01-28,710.0
2019-02-04,720.0
2019-02-11,720.0
2019-02-18,720.0
2019-02-25,720.0
2019-03-04,730.0
2019-03-11,730.0
2019-03-18,730.0
2019-03-25,740.0
2019-04-01,735.0
2019-04-08,735.0
2019-04-15,720.0
2019-04-22,720.0
2019-04-29,700.0
2019-05-06,680.0
2019-05-13,660.0
2019-05-20,620.0
2019-05-27,585.0
2019-06-03,585.0
2019-06-10,560.0
2019-06-17,560.0
2019-06-24,560.0
2019-07-01,560.0
2019-07-08,560.0
2019-07-15,560.0
2019-07-22,580.0
2019-07-29,590.0
2019-08-05,615.0
2019-08-12,615.0
2019-08-19,615.0
2019-08-26,600.0
2019-09-02,600.0
2019-09-09,590.0
2019-09-16,575.0
2019-09-23,555.0
2019-09-30,555.0
2019-10-07,555.0
2019-10-14,500.0
2019-10-21,500.0
2019-10-28,515.0
2019-11-04,515.0
2019-11-11,525.0
2019-11-18,540.0
2019-11-25,550.0
2019-12-02,550.0
2019-12-09,580.0
2019-12-16,580.0
2019-12-23,580.0
2019-12-30,580.0
2020-01-06,580.0
2020-01-13,620.0
2020-01-20,620.0
2020-01-27,640.0
2020-02-03,620.0
2020-02-10,620.0
2020-02-17,610.0
2020-02-24,610.0
2020-03-02,625.0
2020-03-09,620.0
2020-03-16,615.0
2020-03-20,615.0
2020-03-27,615.0
2020-04-03,615.0
2020-04-10,540.0
2020-04-17,510.0
2020-04-24,495.0
2020-05-01,460.0
2020-05-08,485.0
2020-05-15,485.0
2020-05-22,490.0
2020-05-29,500.0
2020-06-05,520.0
2020-06-12,520.0
2020-06-19,520.0
2020-06-26,520.0
2020-07-03,520.0
2020-07-10,495.0
2020-07-17,470.0
2020-07-24,470.0
2020-07-31,490.0
2020-08-07,475.0
2020-08-14,485.0
2020-08-21,490.0
2020-08-28,495.0
2020-09-04,500.0
2020-09-11,520.0
2020-09-18,540.0
2020-09-25,580.0
2020-10-02,600.0
2020-10-09,650.0
2020-10-16,660.0
2020-10-23,675.0
2020-10-30,690.0
2020-11-06,710.0
2020-11-13,710.0
2020-11-20,710.0
2020-11-27,765.0
2020-12-04,825.0
2020-12-11,825.0
2020-12-18,900.0
2020-12-25,960.0
2021-01-01,960.0
2021-01-08,985.0
2021-01-15,1120.0
2021-01-22,1125.0
2021-01-29,1125.0
2021-02-05,1175.0
2021-02-12,1175.0
2021-02-19,1175.0
2021-02-26,1200.0
2021-03-05,1275.0
2021-03-12,1275.0
2021-03-19,1287.5
2021-03-26,1287.5
2021-04-02,1325.0
2021-04-09,1325.0
2021-04-16,1375.0
2021-04-23,1462.5
2021-04-30,1462.5
2021-05-07,1475.0
2021-05-14,1475.0
2021-05-21,1475.0
2021-05-28,1610.0
2021-06-04,1610.0
2021-06-11,1645.0
2021-06-18,1657.5
2021-06-25,1675.0
2021-07-02,1725.0
2021-07-09,1810.0
2021-07-16,1800.0
2021-07-23,1800.0
2021-07-30,1825.0
2021-08-06,1835.0
2021-08-13,1862.5
2021-08-20,1887.5
2021-08-27,1887.5
2021-09-03,1960.0
2021-09-10,1960.0
2021-09-17,1960.0
2021-09-24,1950.0
2021-10-01,1950.0
2021-10-08,1950.0
2021-10-15,1950.0
2021-10-22,1930.0
2021-10-29,1930.0
2021-11-05,1920.0
2021-11-12,1855.0
2021-11-19,1825.0
2021-11-26,1810.0
2021-12-03,1810.0
2021-12-10,1750.0
2021-12-17,1650.0
2021-12-24,1650.0
2021-12-31,1580.0
2022-01-07,1580.0
2022-01-14,1500.0
2022-01-21,1480.0
2022-01-28,1390.0
2022-02-04,1260.0
2022-02-11,1160.0
2022-02-18,1060.0
2022-02-25,1060.0
2022-03-04,1040.0
2022-03-11,1125.0
2022-03-18,1275.0
2022-03-25,1375.0
2022-04-01,1425.0
2022-04-08,1450.0
2022-04-15,1450.0
2022-04-22,1480.0
2022-04-29,1480.0
2022-05-06,1480.0
2022-05-13,1475.0
2022-05-20,1425.0
2022-05-27,1425.0
2022-06-03,1250.0
2022-06-10,1250.0
2022-06-17,1150.0
2022-06-24,1050.0
2022-07-01,980.0
2022-07-08,980.0
2022-07-15,980.0
2022-07-22,830.0
2022-07-29,850.0
2022-08-05,850.0
2022-08-12,850.0
2022-08-19,850.0
2022-08-26,887.5
2022-09-02,860.0
2022-09-09,795.0
2022-09-16,805.0
2022-09-23,805.0
2022-09-30,800.0
2022-10-07,800.0
2022-10-14,710.0
2022-10-21,730.0
2022-10-28,730.0
2022-11-04,705.0
2022-11-11,700.0
2022-11-18,677.5
2022-11-25,637.5
2022-12-02,637.5
2022-12-09,697.5
2022-12-16,700.0
2022-12-23,700.0
2022-12-30,700.0
2023-01-06,700.0
2023-01-13,715.0
2023-01-20,762.5
2023-01-27,770.0
2023-02-03,787.5
2023-02-10,787.5
2023-02-17,850.0
2023-02-24,980.0
2023-03-03,985.0
2023-03-10,1040.0
2023-03-17,1070.0
2023-03-24,1075.0
2023-03-31,1025.0
2023-04-07,1187.5
2023-04-14,1187.5
2023-04-21,1187.5
2023-04-28,1187.5
2023-05-05,1187.5
2023-05-12,1187.5
2023-05-19,1050.0
2023-05-26,1015.0
2023-06-02,970.0
2023-06-09,960.0
2023-06-16,960.0
2023-06-23,925.0
2023-06-30,920.0
2023-07-07,920.0
2023-07-14,920.0
2023-07-21,880.0
2023-07-28,880.0
2023-08-04,835.0
2023-08-11,825.0
2023-08-18,810.0
2023-08-25,810.0
2023-09-01,805.0
2023-09-08,710.0
2023-09-15,710.0
2023-09-22,665.0
2023-09-29,690.0
2023-10-06,690.0
2023-10-13,690.0
2023-10-20,705.0
2023-10-27,790.0
2023-11-03,875.0
2023-11-10,875.0
2023-11-17,885.0
2023-11-24,895.0
2023-12-01,1025.0
2023-12-08,1040.0
2023-12-15,1080.0
2023-12-22,1080.0
2023-12-29,1095.0
2024-01-05,1095.0
2024-01-12,1130.0
2024-01-19,1100.0
2024-01-26,1095.0
2024-02-02,1070.0
2024-02-09,1050.0
2024-02-16,1005.0
2024-02-23,910.0
2024-03-01,850.0
2024-03-08,775.0
2024-03-15,775.0
2024-03-22,785.0
2024-03-29,805.0
2024-04-05,810.0
2024-04-12,825.0
2024-04-19,835.0
2024-04-26,850.0
2024-05-03,825.0
2024-05-10,787.5
2024-05-17,777.5
2024-05-24,782.5
2024-05-31,775.0
2024-06-07,745.0
2024-06-14,720.0
2024-06-21,700.0
2024-06-28,675.0
2024-07-05,650.0
2024-07-12,650.0
2024-07-19,640.0
2024-07-26,640.0
2024-08-02,640.0
2024-08-09,655.0
2024-08-16,655.0
2024-08-23,670.0
2024-08-30,690.0
2024-09-06,690.0
2024-09-13,695.0
2024-09-20,705.0
2024-09-27,715.0
2024-10-04,715.0
2024-10-11,715.0
2024-10-18,695.0
2024-10-25,695.0
2024-11-01,715.0
2024-11-08,715.0
2024-11-15,715.0
2024-11-22,705.0
2024-11-29,690.0
2024-12-06,690.0
2024-12-13,665.0
2024-12-20,665.0
2024-12-27,665.0
2025-01-03,665.0
2025-01-10,665.0
2025-01-17,665.0
2025-01-24,665.0
2025-01-31,650.0
2025-02-07,685.0
2025-02-14,695.0
2025-02-21,750.0
2025-02-28,850.0
2025-03-07,975.0
2025-03-14,975.0
2025-03-21,975.0
2025-03-28,975.0
2025-04-04,975.0
2025-04-11,975.0
2025-04-18,952.5
2025-04-25,952.5
2025-05-02,952.5
2025-05-09,925.0
2025-05-16,925.0
2025-05-23,890.0
2025-05-30,885.0
2025-06-06,885.0
2025-06-13,885.0
2025-06-20,885.0
2025-06-27,895.0
2025-07-04,900.0
2025-07-11,900.0
2025-07-18,895.0
2025-07-25,880.0
2025-08-01,880.0
2025-08-08,870.0
2025-08-15,870.0
2025-08-22,855.0
2025-08-29,855.0
2025-09-05,845.0
2025-09-12,845.0
2025-09-19,845.0
2025-09-26,845.0
2025-10-03,845.0
2025-10-10,845.0
2025-10-17,845.0
2025-10-24,845.0
2025-10-31,845.0
2025-11-07,845.0
2025-11-14,847.5
2025-11-21,880.0
2025-11-28,890.0
2025-12-05,895.0
2025-12-12,907.5
2025-12-19,912.5
2025-12-26,925.0
2026-01-02,925.0
2026-01-09,930.0
2026-01-16,947.5
2026-01-23,947.5
2026-01-30,947.5
