category,series_name,period,value
,        Aerospace,Unnamed: 10,80.5353
,        Aerospace,Unnamed: 11,75.65040833
,        Aerospace,Unnamed: 12,91.34596667
,        Aerospace,Unnamed: 13,99.77654167
,        Aerospace,Unnamed: 14,100.0
,        Aerospace,Unnamed: 15,95.3035
,        Aerospace,Unnamed: 16,102.3248583
,        Aerospace,Unnamed: 17,102.2476167
,        Aerospace,Unnamed: 18,98.59585833
,        Aerospace,Unnamed: 19,95.77585833
,        Aerospace,Unnamed: 20,86.64626667
,        Aerospace,Unnamed: 21,86.75210833
,        Aerospace,Unnamed: 22,85.63329167
,        Aerospace,Unnamed: 23,94.04543333
,        Aerospace,Unnamed: 24,92.265175
,        Aerospace,Unnamed: 25,78.56885
,        Aerospace,Unnamed: 26,73.9907
,        Aerospace,Unnamed: 27,66.446525
,        Aerospace,Unnamed: 28,67.45950833
,        Aerospace,Unnamed: 29,70.61834167
,        Aerospace,Unnamed: 30,74.585025
,        Aerospace,Unnamed: 31,70.15524167
,        Aerospace,Unnamed: 32,79.93803333
,        Aerospace,Unnamed: 33,83.0599
,        Aerospace,Unnamed: 34,71.66173333
,        Aerospace,Unnamed: 35,64.21451667
,        Aerospace,Unnamed: 36,61.800725
,        Aerospace,Unnamed: 37,65.04096667
,        Aerospace,Unnamed: 38,72.453875
,        Aerospace,Unnamed: 39,77.72211667
,        Aerospace,Unnamed: 40,84.008525
,        Aerospace,Unnamed: 41,87.067175
,        Aerospace,Unnamed: 42,86.75370833
,        Aerospace,Unnamed: 43,81.81299167
,        Aerospace,Unnamed: 44,77.75938333
,        Aerospace,Unnamed: 6,92.79995833
,        Aerospace,Unnamed: 7,84.95773333
,        Aerospace,Unnamed: 8,84.61659167
,        Aerospace,Unnamed: 9,80.32198333
,        Appliances,Unnamed: 10,99.072525
,        Appliances,Unnamed: 11,91.75954167
,        Appliances,Unnamed: 12,93.68889167
,        Appliances,Unnamed: 13,98.2914
,        Appliances,Unnamed: 14,100.0000083
,        Appliances,Unnamed: 15,101.5061167
,        Appliances,Unnamed: 16,100.0478083
,        Appliances,Unnamed: 17,95.86330833
,        Appliances,Unnamed: 18,94.277675
,        Appliances,Unnamed: 19,92.36951667
,        Appliances,Unnamed: 20,89.7774
,        Appliances,Unnamed: 21,90.26404167
,        Appliances,Unnamed: 22,91.30651667
,        Appliances,Unnamed: 23,120.0548583
,        Appliances,Unnamed: 24,137.952675
,        Appliances,Unnamed: 25,147.0383583
,        Appliances,Unnamed: 26,151.655975
,        Appliances,Unnamed: 27,148.7659917
,        Appliances,Unnamed: 28,144.2696
,        Appliances,Unnamed: 29,144.128325
,        Appliances,Unnamed: 30,140.806325
,        Appliances,Unnamed: 31,146.9311333
,        Appliances,Unnamed: 32,143.0635833
,        Appliances,Unnamed: 33,138.45045
,        Appliances,Unnamed: 34,129.8282083
,        Appliances,Unnamed: 35,124.0993833
,        Appliances,Unnamed: 36,122.9205917
,        Appliances,Unnamed: 37,123.3899667
,        Appliances,Unnamed: 38,115.2893417
,        Appliances,Unnamed: 39,109.1567667
,        Appliances,Unnamed: 40,103.2257583
,        Appliances,Unnamed: 41,110.7635583
,        Appliances,Unnamed: 42,113.666075
,        Appliances,Unnamed: 43,112.6529333
,        Appliances,Unnamed: 44,110.671375
,        Appliances,Unnamed: 6,82.025725
,        Appliances,Unnamed: 7,84.41986667
,        Appliances,Unnamed: 8,88.50875
,        Appliances,Unnamed: 9,94.53100833
,        Auto Products,Unnamed: 10,103.4675667
,        Auto Products,Unnamed: 11,94.24603333
,        Auto Products,Unnamed: 12,101.254825
,        Auto Products,Unnamed: 13,103.859675
,        Auto Products,Unnamed: 14,100.0
,        Auto Products,Unnamed: 15,101.6584917
,        Auto Products,Unnamed: 16,99.81515833
,        Auto Products,Unnamed: 17,95.13095833
,        Auto Products,Unnamed: 18,87.73025833
,        Auto Products,Unnamed: 19,81.66418333
,        Auto Products,Unnamed: 20,77.88518333
,        Auto Products,Unnamed: 21,72.526925
,        Auto Products,Unnamed: 22,59.43965
,        Auto Products,Unnamed: 23,76.08241667
,        Auto Products,Unnamed: 24,90.66789167
,        Auto Products,Unnamed: 25,87.74655
,        Auto Products,Unnamed: 26,90.06871667
,        Auto Products,Unnamed: 27,92.56678333
,        Auto Products,Unnamed: 28,95.15591667
,        Auto Products,Unnamed: 29,89.49921667
,        Auto Products,Unnamed: 30,81.20221667
,        Auto Products,Unnamed: 31,84.71926667
,        Auto Products,Unnamed: 32,88.57314167
,        Auto Products,Unnamed: 33,77.636275
,        Auto Products,Unnamed: 34,72.39393333
,        Auto Products,Unnamed: 35,65.82970833
,        Auto Products,Unnamed: 36,64.53628333
,        Auto Products,Unnamed: 37,62.8738
,        Auto Products,Unnamed: 38,57.4334
,        Auto Products,Unnamed: 39,52.08055
,        Auto Products,Unnamed: 40,45.68238333
,        Auto Products,Unnamed: 41,50.04866667
,        Auto Products,Unnamed: 42,53.25203333
,        Auto Products,Unnamed: 43,51.63720833
,        Auto Products,Unnamed: 44,49.51478333
,        Auto Products,Unnamed: 6,101.2703083
,        Auto Products,Unnamed: 7,106.4120083
,        Auto Products,Unnamed: 8,109.4707667
,        Auto Products,Unnamed: 9,111.3298
,        Business Equipment,Unnamed: 10,88.467225
,        Business Equipment,Unnamed: 11,83.68485
,        Business Equipment,Unnamed: 12,95.97254167
,        Business Equipment,Unnamed: 13,103.4663833
,        Business Equipment,Unnamed: 14,100.0
,        Business Equipment,Unnamed: 15,95.52745
,        Business Equipment,Unnamed: 16,100.7534
,        Business Equipment,Unnamed: 17,102.9488
,        Business Equipment,Unnamed: 18,101.043
,        Business Equipment,Unnamed: 19,101.0529417
,        Business Equipment,Unnamed: 20,91.90256667
,        Business Equipment,Unnamed: 21,86.668675
,        Business Equipment,Unnamed: 22,80.784925
,        Business Equipment,Unnamed: 23,97.33659167
,        Business Equipment,Unnamed: 24,99.40315833
,        Business Equipment,Unnamed: 25,93.692625
,        Business Equipment,Unnamed: 26,85.49118333
,        Business Equipment,Unnamed: 27,79.53616667
,        Business Equipment,Unnamed: 28,75.66044167
,        Business Equipment,Unnamed: 29,75.25728333
,        Business Equipment,Unnamed: 30,80.69995
,        Business Equipment,Unnamed: 31,85.563225
,        Business Equipment,Unnamed: 32,79.90738333
,        Business Equipment,Unnamed: 33,75.56660833
,        Business Equipment,Unnamed: 34,67.8343
,        Business Equipment,Unnamed: 35,58.81025833
,        Business Equipment,Unnamed: 36,53.26479167
,        Business Equipment,Unnamed: 37,48.46226667
,        Business Equipment,Unnamed: 38,45.39880833
,        Business Equipment,Unnamed: 39,43.21995
,        Business Equipment,Unnamed: 40,41.51734167
,        Business Equipment,Unnamed: 41,42.15434167
,        Business Equipment,Unnamed: 42,40.66355833
,        Business Equipment,Unnamed: 43,39.34889167
,        Business Equipment,Unnamed: 44,35.60421667
,        Business Equipment,Unnamed: 6,93.09825833
,        Business Equipment,Unnamed: 7,88.97234167
,        Business Equipment,Unnamed: 8,91.731975
,        Business Equipment,Unnamed: 9,91.760675
,        Construction,Unnamed: 10,100.1715833
,        Construction,Unnamed: 11,95.90371667
,        Construction,Unnamed: 12,100.2479
,        Construction,Unnamed: 13,101.7275917
,        Construction,Unnamed: 14,99.99999167
,        Construction,Unnamed: 15,98.78181667
,        Construction,Unnamed: 16,98.034875
,        Construction,Unnamed: 17,97.497975
,        Construction,Unnamed: 18,94.55440833
,        Construction,Unnamed: 19,91.63284167
,        Construction,Unnamed: 20,87.96663333
,        Construction,Unnamed: 21,85.96203333
,        Construction,Unnamed: 22,83.12091667
,        Construction,Unnamed: 23,107.9783667
,        Construction,Unnamed: 24,118.9363583
,        Construction,Unnamed: 25,119.8559167
,        Construction,Unnamed: 26,116.9700833
,        Construction,Unnamed: 27,111.572425
,        Construction,Unnamed: 28,108.9110417
,        Construction,Unnamed: 29,109.1361833
,        Construction,Unnamed: 30,109.185225
,        Construction,Unnamed: 31,114.29545
,        Construction,Unnamed: 32,112.0006333
,        Construction,Unnamed: 33,109.2692667
,        Construction,Unnamed: 34,103.793725
