date,value
2015-11-23,1100.0
2015-11-30,1050.0
2015-12-07,1000.0
2015-12-14,1000.0
2015-12-21,1000.0
2015-12-28,1000.0
2016-01-04,1000.0
2016-01-11,1000.0
2016-01-18,975.0
2016-01-25,950.0
2016-02-01,950.0
2016-02-08,975.0
2016-02-15,947.5
2016-02-22,925.0
2016-02-29,937.5
2016-03-07,925.0
2016-03-14,925.0
2016-03-21,925.0
2016-03-28,925.0
2016-04-04,925.0
2016-04-11,925.0
2016-04-18,925.0
2016-04-25,925.0
2016-05-02,925.0
2016-05-09,925.0
2016-05-16,925.0
2016-05-23,925.0
2016-05-30,925.0
2016-06-06,925.0
2016-06-13,890.0
2016-06-20,890.0
2016-06-27,890.0
2016-07-04,890.0
2016-07-11,890.0
2016-07-18,890.0
2016-07-25,890.0
2016-08-01,870.0
2016-08-08,870.0
2016-08-15,870.0
2016-08-22,870.0
2016-08-29,870.0
2016-09-05,870.0
2016-09-12,870.0
2016-09-19,890.0
2016-09-26,890.0
2016-10-03,870.0
2016-10-10,870.0
2016-10-17,870.0
2016-10-24,880.0
2016-10-31,880.0
2016-11-07,880.0
2016-11-14,880.0
2016-11-21,880.0
2016-11-28,900.0
2016-12-05,900.0
2016-12-12,925.0
2016-12-19,1025.0
2016-12-26,1025.0
2017-01-02,1125.0
2017-01-09,1225.0
2017-01-16,1225.0
2017-01-23,1250.0
2017-01-27,1250.0
2017-01-30,1250.0
2017-02-03,1250.0
2017-02-06,1250.0
2017-02-10,1250.0
2017-02-13,1325.0
2017-02-17,1325.0
2017-02-20,1475.0
2017-02-24,1475.0
2017-02-27,1575.0
2017-03-03,1575.0
2017-03-06,1625.0
2017-03-10,1625.0
2017-03-13,1725.0
2017-03-17,1725.0
2017-03-20,1725.0
2017-03-24,1725.0
2017-03-27,1725.0
2017-03-31,1725.0
2017-04-03,1725.0
2017-04-07,1725.0
2017-04-10,1725.0
2017-04-14,1725.0
2017-04-17,1750.0
2017-04-24,1750.0
2017-04-28,1750.0
2017-05-01,1750.0
2017-05-05,1750.0
2017-05-08,1725.0
2017-05-12,1725.0
2017-05-15,1725.0
2017-05-19,1725.0
2017-05-22,1725.0
2017-05-26,1725.0
2017-05-29,1725.0
2017-06-02,1725.0
2017-06-05,1675.0
2017-06-09,1675.0
2017-06-12,1675.0
2017-06-16,1675.0
2017-06-19,1650.0
2017-06-23,1650.0
2017-06-26,1650.0
2017-06-30,1650.0
2017-07-03,1625.0
2017-07-07,1625.0
2017-07-10,1625.0
2017-07-14,1625.0
2017-07-17,1575.0
2017-07-21,1575.0
2017-07-24,1500.0
2017-07-28,1500.0
2017-07-31,1500.0
2017-08-04,1500.0
2017-08-07,1500.0
2017-08-11,1500.0
2017-08-14,1500.0
2017-08-18,1500.0
2017-08-21,1500.0
2017-08-25,1500.0
2017-08-28,1375.0
2017-09-04,1375.0
2017-09-08,1375.0
2017-09-11,1375.0
2017-09-15,1375.0
2017-09-18,1275.0
2017-09-22,1275.0
2017-09-25,1275.0
2017-09-29,1275.0
2017-10-02,1225.0
2017-10-06,1225.0
2017-10-09,1225.0
2017-10-13,1225.0
2017-10-16,1225.0
2017-10-20,1225.0
2017-10-23,1225.0
2017-10-27,1225.0
2017-10-30,1225.0
2017-11-03,1225.0
2017-11-06,1225.0
2017-11-10,1225.0
2017-11-13,1225.0
2017-11-17,1225.0
2017-11-20,1225.0
2017-11-24,1225.0
2017-11-27,1225.0
2017-12-01,1225.0
2017-12-04,1225.0
2017-12-08,1225.0
2017-12-11,1225.0
2017-12-15,1225.0
2017-12-18,1225.0
2017-12-21,1225.0
2017-12-25,1225.0
2017-12-29,1225.0
2018-01-01,1275.0
2018-01-05,1275.0
2018-01-08,1275.0
2018-01-12,1275.0
2018-01-15,1375.0
2018-01-19,1375.0
2018-01-22,1375.0
2018-01-26,1375.0
2018-01-29,1375.0
2018-02-02,1375.0
2018-02-05,1475.0
2018-02-09,1475.0
2018-02-12,1475.0
2018-02-16,1475.0
2018-02-19,1475.0
2018-02-26,1475.0
2018-03-02,1475.0
2018-03-05,1700.0
2018-03-09,1700.0
2018-03-12,1700.0
2018-03-16,1700.0
2018-03-19,1700.0
2018-03-23,1700.0
2018-03-26,1700.0
2018-03-30,1700.0
2018-04-02,1700.0
2018-04-06,1700.0
2018-04-09,1700.0
2018-04-13,1700.0
2018-04-16,1700.0
2018-04-20,1700.0
2018-04-23,1700.0
2018-04-27,1700.0
2018-04-30,1700.0
2018-05-04,1700.0
2018-05-07,1700.0
2018-05-11,1700.0
2018-05-14,1700.0
2018-05-18,1700.0
2018-05-21,1700.0
2018-05-25,1700.0
2018-05-28,1700.0
2018-06-01,1700.0
2018-06-04,1800.0
2018-06-08,1800.0
2018-06-11,1800.0
2018-06-15,1800.0
2018-06-18,1800.0
2018-06-22,1800.0
2018-06-25,1800.0
2018-06-29,1800.0
2018-07-02,1800.0
2018-07-06,1800.0
2018-07-09,1800.0
2018-07-13,1800.0
2018-07-16,1800.0
2018-07-20,1800.0
2018-07-23,1800.0
2018-07-27,1800.0
2018-07-30,1800.0
2018-08-03,1800.0
2018-08-06,1800.0
2018-08-10,1800.0
2018-08-13,1750.0
2018-08-17,1750.0
2018-08-20,1650.0
2018-08-24,1650.0
2018-08-27,1650.0
2018-08-31,1650.0
2018-09-03,1600.0
2018-09-07,1600.0
2018-09-10,1575.0
2018-09-14,1575.0
2018-09-17,1575.0
2018-09-21,1575.0
2018-09-24,1575.0
2018-09-28,1575.0
2018-10-01,1575.0
2018-10-05,1575.0
2018-10-08,1575.0
2018-10-12,1575.0
2018-10-15,1575.0
2018-10-19,1575.0
2018-10-22,1575.0
2018-10-29,1575.0
2018-11-05,1575.0
2018-11-12,1575.0
2018-11-19,1575.0
2018-11-23,1575.0
2018-11-30,1575.0
2018-12-07,1575.0
2018-12-14,1525.0
2018-12-21,1525.0
2018-12-28,1475.0
2019-01-04,1475.0
2019-01-11,1475.0
2019-01-18,1425.0
2019-01-21,1425.0
2019-01-28,1375.0
2019-02-04,1375.0
2019-02-11,1375.0
2019-02-18,1375.0
2019-02-25,1325.0
2019-03-04,1325.0
2019-03-11,1325.0
2019-03-18,1325.0
2019-03-25,1325.0
2019-04-01,1325.0
2019-04-08,1325.0
2019-04-15,1325.0
2019-04-22,1325.0
2019-04-29,1325.0
2019-05-06,1325.0
2019-05-13,1325.0
2019-05-20,1275.0
2019-05-27,1225.0
2019-06-03,1225.0
2019-06-10,1187.5
2019-06-17,1187.5
2019-06-24,1187.5
2019-07-01,1187.5
2019-07-08,1187.5
2019-07-15,1187.5
2019-07-22,1187.5
2019-07-29,1187.5
2019-08-05,1187.5
2019-08-12,1187.5
2019-08-19,1187.5
2019-08-26,1187.5
2019-09-02,1187.5
2019-09-09,1175.0
2019-09-16,1075.0
2019-09-23,1075.0
2019-09-30,1075.0
2019-10-07,1075.0
2019-10-14,1075.0
2019-10-21,1075.0
2019-10-28,1075.0
2019-11-04,1075.0
2019-11-11,1075.0
2019-11-18,1075.0
2019-11-25,1075.0
2019-12-02,1075.0
2019-12-09,1075.0
2019-12-16,1075.0
2019-12-23,1075.0
2019-12-30,1075.0
2020-01-06,1075.0
2020-01-13,1075.0
2020-01-20,1125.0
2020-01-27,1125.0
2020-02-03,1125.0
2020-02-10,1125.0
2020-02-17,1125.0
2020-02-24,1075.0
2020-03-02,1075.0
2020-03-09,1075.0
2020-03-16,1025.0
2020-03-27,1025.0
2020-04-03,1025.0
2020-04-10,1025.0
2020-04-17,1025.0
2020-04-24,1025.0
2020-05-01,1025.0
2020-05-08,1025.0
2020-05-15,1025.0
2020-05-22,1025.0
2020-05-29,1025.0
2020-06-05,1025.0
2020-06-12,1025.0
2020-06-19,1025.0
2020-06-26,1025.0
2020-07-03,1025.0
2020-07-10,1025.0
2020-07-17,1025.0
2020-07-24,1025.0
2020-07-31,1025.0
2020-08-07,1025.0
2020-08-14,1025.0
2020-08-21,1025.0
2020-08-28,1075.0
2020-09-04,1075.0
2020-09-11,1075.0
2020-09-18,1125.0
2020-09-25,1125.0
2020-10-02,1125.0
2020-10-09,1125.0
2020-10-16,1125.0
2020-10-23,1125.0
2020-10-30,1125.0
2020-11-06,1125.0
2020-11-13,1125.0
2020-11-20,1175.0
2020-11-27,1175.0
2020-12-04,1275.0
2020-12-11,1275.0
2020-12-18,1425.0
2020-12-25,1425.0
2021-01-01,1437.5
2021-01-08,1437.5
2021-01-15,1500.0
2021-01-22,1475.0
2021-01-29,1475.0
2021-02-05,1475.0
2021-02-12,1475.0
2021-02-19,1475.0
2021-02-26,1650.0
2021-03-05,1675.0
2021-03-12,1675.0
2021-03-19,1725.0
2021-03-26,1725.0
2021-04-02,1725.0
2021-04-09,1775.0
2021-04-16,1937.5
2021-04-23,1937.5
2021-04-30,1937.5
2021-05-07,1962.5
2021-05-14,1975.0
2021-05-21,1975.0
2021-05-28,1975.0
2021-06-04,1975.0
2021-06-11,2300.0
2021-06-18,1925.0
2021-06-25,2350.0
2021-07-02,2350.0
2021-07-09,2350.0
2021-07-16,2350.0
2021-07-23,2350.0
2021-07-30,2350.0
2021-08-06,2150.0
2021-08-13,2150.0
2021-08-20,2150.0
2021-08-27,2300.0
2021-09-03,2300.0
2021-09-10,2400.0
2021-09-17,2400.0
2021-09-24,2400.0
2021-10-01,2400.0
2021-10-08,2400.0
2021-10-15,2400.0
2021-10-22,2400.0
2021-10-29,2850.0
2021-11-05,2850.0
2021-11-12,2850.0
2021-11-19,2850.0
2021-11-26,2850.0
2021-12-03,2850.0
2021-12-10,2850.0
2021-12-17,2850.0
2021-12-24,2850.0
2021-12-31,2850.0
2022-01-07,2850.0
2022-01-14,2850.0
2022-01-21,2850.0
2022-01-28,2850.0
2022-02-04,2850.0
2022-02-11,2850.0
2022-02-18,2850.0
2022-02-25,3000.0
2022-03-04,3000.0
2022-03-11,3000.0
2022-03-18,3100.0
2022-03-25,3100.0
2022-04-01,3100.0
2022-04-08,3100.0
2022-04-15,3100.0
2022-04-22,3100.0
2022-04-29,3100.0
2022-05-06,3100.0
2022-05-13,3300.0
2022-05-20,3300.0
2022-05-27,3300.0
2022-06-03,3200.0
2022-06-10,3465.0
2022-06-17,3465.0
2022-06-24,3450.0
2022-07-01,3450.0
2022-07-08,3400.0
2022-07-15,3650.0
