date,value
1990-01-31,936
1990-02-28,897
1990-03-30,946
1990-04-30,927
1990-05-31,1001
1990-06-29,1020
1990-07-31,996
1990-08-31,1012
1990-09-28,1047
1990-10-31,1107
1990-11-30,1175
1990-12-31,1086
1991-01-31,1051
1991-02-28,967
1991-03-29,910
1991-04-30,824
1991-05-31,824
1991-06-28,881
1991-07-31,845
1991-08-30,799
1991-09-30,775
1991-10-31,801
1991-11-29,828
1991-12-31,770
1992-01-31,653
1992-02-28,673
1992-03-31,639
1992-04-30,623
1992-05-29,629
1992-06-30,645
1992-07-31,690
1992-08-31,668
1992-09-30,755
1992-10-30,838
1992-11-30,899
1992-12-31,928
1993-01-29,762
1993-02-26,663
1993-03-31,610
1993-04-30,609
1993-05-31,671
1993-06-30,702
1993-07-30,776
1993-08-31,822
1993-09-30,866
1993-10-29,870
1993-11-30,871
1993-12-31,814
1994-01-31,778
1994-02-28,747
1994-03-31,725
1994-04-29,730
1994-05-31,727
1994-06-30,761
1994-07-29,771
1994-08-31,768
1994-09-30,838
1994-10-31,813
1994-11-30,842
1994-12-30,791
1995-01-31,731
1995-02-28,696
1995-03-31,648
1995-04-28,680
1995-05-31,690
1995-06-30,666
1995-07-31,739
1995-08-31,763
1995-09-29,755
1995-10-31,761
1995-11-30,774
1995-12-29,745
1996-01-31,703
1996-02-29,705
1996-03-29,728
1996-04-30,757
1996-05-31,765
1996-06-28,777
1996-07-31,774
1996-08-30,812
1996-09-30,822
1996-10-31,853
1996-11-29,861
1996-12-31,851
1997-01-31,807
1997-02-28,840
1997-03-31,915
1997-04-30,889
1997-05-30,961
1997-06-30,966
1997-07-31,984
1997-08-29,980
1997-09-30,998
1997-10-31,1017
1997-11-28,1005
1997-12-31,1007
1998-01-30,987
1998-02-27,960
1998-03-31,890
1998-04-30,880
1998-05-29,822
1998-06-30,823
1998-07-31,822
1998-08-31,790
1998-09-30,770
1998-10-30,708
1998-11-30,686
1998-12-31,634
1999-01-29,562
1999-02-26,533
1999-03-31,502
1999-04-30,494
1999-05-31,534
1999-06-30,563
1999-07-30,602
1999-08-31,668
1999-09-30,720
1999-10-29,761
1999-11-30,795
1999-12-31,771
2000-01-31,755
2000-02-29,760
2000-03-31,775
2000-04-28,798
2000-05-31,864
2000-06-30,920
2000-07-31,975
2000-08-31,996
2000-09-29,1015
2000-10-31,1084
2000-11-30,1064
2000-12-29,1114
2001-01-31,1116
2001-02-28,1121
2001-03-30,1193
2001-04-30,1212
2001-05-31,1262
2001-06-29,1275
2001-07-31,1266
2001-08-31,1252
2001-09-28,1168
2001-10-31,1063
2001-11-30,952
2001-12-31,887
2002-01-31,859
2002-02-28,792
2002-03-29,761
2002-04-30,766
2002-05-31,854
2002-06-28,840
2002-07-31,833
2002-08-30,847
2002-09-30,875
2002-10-31,856
2002-11-29,835
2002-12-31,862
2003-01-31,873
2003-02-28,912
2003-03-31,962
2003-04-30,986
2003-05-30,1059
2003-06-30,1074
2003-07-31,1091
2003-08-29,1102
2003-09-30,1095
2003-10-31,1107
2003-11-28,1113
2003-12-31,1114
2004-01-30,1084
2004-02-27,1134
2004-03-31,1150
2004-04-30,1161
2004-05-31,1169
2004-06-30,1176
2004-07-30,1229
2004-08-31,1239
2004-09-30,1239
2004-10-29,1251
2004-11-30,1251
2004-12-31,1243
2005-01-31,1256
2005-02-28,1281
2005-03-31,1331
2005-04-29,1325
2005-05-31,1331
2005-06-30,1370
2005-07-29,1412
2005-08-31,1444
2005-09-30,1483
2005-10-31,1480
2005-11-30,1491
2005-12-30,1471
2006-01-31,1487
2006-02-28,1543
2006-03-31,1576
2006-04-28,1608
2006-05-31,1649
2006-06-30,1666
2006-07-31,1714
2006-08-31,1756
2006-09-29,1744
2006-10-31,1744
2006-11-30,1697
2006-12-29,1710
2007-01-31,1699
2007-02-28,1754
2007-03-30,1749
2007-04-30,1747
2007-05-31,1760
2007-06-29,1775
2007-07-31,1775
2007-08-31,1829
2007-09-28,1760
2007-10-31,1760
2007-11-30,1823
2007-12-31,1782
2008-01-31,1747
2008-02-29,1763
2008-03-31,1808
2008-04-30,1842
2008-05-30,1877
2008-06-30,1913
2008-07-31,1957
2008-08-29,2031
2008-09-30,1995
2008-10-31,1971
2008-11-28,1866
2008-12-31,1721
2009-01-30,1472
2009-02-27,1243
2009-03-31,1039
2009-04-30,955
2009-05-29,899
2009-06-30,917
2009-07-31,948
2009-08-31,999
2009-09-30,1017
2009-10-30,1069
2009-11-30,1137
2009-12-31,1178
2010-01-29,1317
2010-02-26,1373
2010-03-31,1444
2010-04-30,1483
2010-05-31,1535
2010-06-30,1552
2010-07-30,1586
2010-08-31,1656
2010-09-30,1650
2010-10-29,1672
2010-11-30,1687
2010-12-31,1694
2011-01-31,1732
2011-02-28,1699
2011-03-31,1738
2011-04-29,1818
2011-05-31,1847
2011-06-30,1882
2011-07-29,1908
2011-08-31,1975
2011-09-30,1990
2011-10-31,2021
2011-11-30,2000
2011-12-30,2007
2012-01-31,2008
2012-02-29,1981
2012-03-30,1979
2012-04-30,1945
2012-05-31,1983
2012-06-29,1959
2012-07-31,1924
2012-08-31,1894
2012-09-28,1848
2012-10-31,1826
2012-11-30,1811
2012-12-31,1763
2013-01-31,1753
2013-02-28,1761
2013-03-29,1748
2013-04-30,1754
2013-05-31,1771
2013-06-28,1748
2013-07-31,1776
2013-08-30,1776
2013-09-30,1744
2013-10-31,1738
2013-11-29,1763
2013-12-31,1757
2014-01-31,1785
2014-02-28,1769
2014-03-31,1809
2014-04-30,1861
2014-05-30,1866
2014-06-30,1873
2014-07-31,1883
2014-08-29,1914
2014-09-30,1931
2014-10-31,1929
2014-11-28,1917
2014-12-31,1840
2015-01-30,1543
2015-02-27,1267
2015-03-31,1048
2015-04-30,932
2015-05-29,875
2015-06-30,859
2015-07-31,874
2015-08-31,877
2015-09-30,838
2015-10-30,775
2015-11-30,744
2015-12-31,700
2016-01-29,619
2016-02-29,502
2016-03-31,464
2016-04-29,420
2016-05-31,404
2016-06-30,421
2016-07-29,463
2016-08-31,489
2016-09-30,522
2016-10-31,557
2016-11-30,593
2016-12-30,658
2017-01-31,712
2017-02-28,754
2017-03-31,824
2017-04-28,870
2017-05-31,908
2017-06-30,940
2017-07-31,958
2017-08-31,940
2017-09-29,940
2017-10-31,909
2017-11-30,923
2017-12-29,929
2018-01-31,947
2018-02-28,978
2018-03-30,993
2018-04-30,1021
2018-05-31,1059
2018-06-29,1047
2018-07-31,1048
2018-08-31,1048
2018-09-28,1054
2018-10-31,1068
2018-11-30,1076
2018-12-31,1083
2019-01-31,1059
2019-02-28,1047
