date,value
2000-02-29,83.3
2000-03-31,82.6
2000-04-30,81.3
2000-05-31,76.2
2000-06-30,72.7
2000-07-31,69.6
2000-08-31,67.9
2000-09-30,68.6
2000-10-31,64.4
2000-11-30,59.7
2000-12-31,58.9
2001-01-31,63.8
2001-02-28,60.2
2001-03-31,59.4
2001-04-30,60.2
2001-05-31,60.2
2001-06-30,59.9
2001-07-31,60.7
2001-08-31,61.0
2001-09-30,60.9
2001-10-31,58.9
2001-11-30,55.6
2001-12-31,56.4
2002-01-31,57.4
2002-02-28,60.7
2002-03-31,62.6
2002-04-30,67.2
2002-05-31,73.5
2002-06-30,75.7
2002-07-31,75.9
2002-08-31,76.4
2002-09-30,75.1
2002-10-31,74.9
2002-11-30,71.5
2002-12-31,69.6
2003-01-31,75.9
2003-02-28,83.8
2003-03-31,88.6
2003-04-30,87.5
2003-05-31,83.6
2003-06-30,80.7
2003-07-31,82.4
2003-08-31,90.1
2003-09-30,96.6
2003-10-31,98.1
2003-11-30,104.4
2003-12-31,118.2
2004-01-31,131.8
2004-02-29,159.0
2004-03-31,172.5
2004-04-30,156.3
2004-05-31,126.7
2004-06-30,118.9
2004-07-31,153.3
2004-08-31,168.1
2004-09-30,151.3
2004-10-31,162.9
2004-11-30,170.8
2004-12-31,154.7
2005-01-31,147.0
2005-02-28,142.9
2005-03-31,143.9
2005-04-30,158.4
2005-05-31,135.7
2005-06-30,98.7
2005-07-31,104.3
2005-08-31,135.4
2005-09-30,163.7
2005-10-31,152.3
2005-11-30,161.5
2005-12-31,165.5
2006-01-31,157.7
2006-02-28,165.5
2006-03-31,169.5
2006-04-30,179.6
2006-05-31,182.6
2006-06-30,183.9
2006-07-31,180.4
2006-08-31,169.1
2006-09-30,169.4
2006-10-31,164.8
2006-11-30,160.0
2006-12-31,164.3
2007-01-31,176.2
2007-02-28,192.3
2007-03-31,223.9
2007-04-30,213.5
2007-05-31,192.5
2007-06-30,193.3
2007-07-31,191.4
2007-08-31,194.7
2007-09-30,205.1
2007-10-31,201.3
2007-11-30,194.1
2007-12-31,206.0
2008-01-31,244.0
2008-02-29,248.6
2008-03-31,261.6
2008-04-30,346.9
2008-05-31,368.6
2008-06-30,363.2
2008-07-31,377.5
2008-08-31,360.6
2008-09-30,276.0
2008-10-31,179.6
2008-11-30,106.8
2008-12-31,128.2
2009-01-31,144.7
2009-02-28,140.8
2009-03-31,136.3
2009-04-30,126.3
2009-05-31,145.7
2009-06-30,149.1
2009-07-31,178.0
2009-08-31,198.8
2009-09-30,211.8
2009-10-31,202.1
2009-11-30,188.4
2009-12-31,213.9
2010-01-31,240.3
2010-02-28,247.0
2010-03-31,274.9
2010-04-30,301.3
2010-05-31,289.4
2010-06-30,267.7
2010-07-31,259.4
2010-08-31,258.3
2010-09-30,277.4
2010-10-31,264.8
2010-11-30,268.6
2010-12-31,291.7
2011-01-31,326.3
2011-02-28,326.5
2011-03-31,326.9
2011-04-30,326.6
2011-05-31,334.4
2011-06-30,340.1
2011-07-31,341.2
2011-08-31,339.3
2011-09-30,339.3
2011-10-31,335.8
2011-11-30,315.8
2011-12-31,330.9
2012-01-31,347.7
2012-02-29,331.7
2012-03-31,332.0
2012-04-30,328.0
2012-05-31,328.8
2012-06-30,285.3
2012-07-31,259.2
2012-08-31,298.7
2012-09-30,295.5
2012-10-31,264.4
2012-11-30,283.4
2012-12-31,284.9
2013-01-31,286.2
2013-02-28,281.7
2013-03-31,297.7
2013-04-30,293.4
2013-05-31,279.8
2013-06-30,273.6
2013-07-31,284.9
2013-08-31,287.9
2013-09-30,281.9
2013-10-31,280.8
2013-11-30,299.4
2013-12-31,311.2
2014-01-31,328.8
2014-02-28,305.7
2014-03-31,293.0
2014-04-30,304.4
2014-05-31,297.3
2014-06-30,292.4
2014-07-31,291.8
2014-08-31,293.3
2014-09-30,300.6
2014-10-31,281.8
2014-11-30,265.6
2014-12-31,260.0
2015-01-31,257.9
2015-02-28,200.9
2015-03-31,190.6
2015-04-30,193.1
2015-05-31,192.9
2015-06-30,205.7
2015-07-31,200.5
2015-08-31,179.8
2015-09-30,172.6
2015-10-31,139.0
2015-11-30,122.7
2015-12-31,124.9
2016-01-31,137.9
2016-02-29,141.8
2016-03-31,156.3
2016-04-30,194.7
2016-05-31,226.3
2016-06-30,202.5
2016-07-31,192.8
2016-08-31,187.2
2016-09-30,177.8
2016-10-31,166.4
2016-11-30,178.8
2016-12-31,205.5
2017-01-31,237.1
2017-02-28,227.4
2017-03-31,248.6
2017-04-30,232.2
2017-05-31,222.3
2017-06-30,222.1
2017-07-31,226.2
2017-08-31,244.6
2017-09-30,252.4
2017-10-31,239.3
2017-11-30,233.6
2017-12-31,254.7
2018-01-31,282.0
2018-02-28,287.2
2018-03-31,298.0
2018-04-30,315.1
2018-05-31,309.5
2018-06-30,307.8
2018-07-31,304.6
2018-08-31,278.7
2018-09-30,271.7
2018-10-31,280.2
2018-11-30,283.9
2018-12-31,279.4
