date,value
1994-01-31,3.29
1994-02-28,3.0
1994-03-31,3.45
1994-04-29,3.38
1994-05-31,3.3
1994-06-30,3.24
1994-07-29,3.45
1994-08-31,3.37
1994-09-30,3.11
1994-10-31,3.0
1994-11-30,3.21
1994-12-30,3.26
1995-01-31,3.41
1995-02-28,3.36
1995-03-31,3.37
1995-04-28,3.2
1995-05-31,3.47
1995-06-30,3.54
1995-07-31,3.23
1995-08-31,3.56
1995-09-29,3.41
1995-10-31,3.62
1995-11-30,3.79
1995-12-29,3.84
1996-01-31,3.64
1996-02-29,3.29
1996-03-29,3.2
1996-04-30,3.04
1996-05-31,3.0
1996-06-28,3.17
1996-07-31,3.23
1996-08-30,3.03
1996-09-30,2.9
1996-10-31,3.23
1996-11-29,3.3
1996-12-31,2.88
1997-01-31,2.78
1997-02-28,2.49
1997-03-31,2.64
1997-04-30,2.69
1997-05-30,2.4
1997-06-30,2.38
1997-07-31,2.41
1997-08-29,2.39
1997-09-30,2.35
1997-10-31,2.39
1997-11-28,2.66
1997-12-31,2.88
1998-01-30,2.92
1998-02-27,2.7
1998-03-31,2.63
1998-04-30,2.81
1998-05-29,3.01
1998-06-30,3.28
1998-07-31,3.24
1998-08-31,5.08
1998-09-30,5.65
1998-10-30,6.11
1998-11-30,5.18
1998-12-31,5.27
1999-01-29,5.15
1999-02-26,4.78
1999-03-31,4.75
1999-04-30,4.44
1999-05-28,4.58
1999-06-30,4.69
1999-07-30,4.59
1999-08-31,4.82
1999-09-30,5.18
1999-10-29,5.25
1999-11-30,4.98
1999-12-31,4.67
2000-01-31,4.82
2000-02-29,4.97
2000-03-31,5.79
2000-04-28,5.84
2000-05-31,6.07
2000-06-30,5.85
2000-07-31,5.92
2000-08-15,6.06
2000-08-16,6.04
2000-08-17,6.06
2000-08-18,6.09
2000-08-21,6.09
2000-08-22,6.11
2000-08-23,6.17
2000-08-24,6.19
2000-08-25,6.18
2000-08-28,6.1
2000-08-29,6.07
2000-08-30,6.02
2000-08-31,6.13
2000-09-01,6.15
2000-09-05,6.13
2000-09-06,6.08
2000-09-07,6.04
2000-09-08,6.05
2000-09-11,6.04
2000-09-12,6.02
2000-09-13,6.04
2000-09-14,6.01
2000-09-15,6.0
2000-09-18,6.05
2000-09-19,6.13
2000-09-20,6.09
2000-09-21,6.12
2000-09-22,6.18
2000-09-25,6.19
2000-09-26,6.23
2000-09-27,6.29
2000-09-28,6.26
2000-09-29,6.38
2000-10-02,6.38
2000-10-03,6.37
2000-10-04,6.35
2000-10-05,6.39
2000-10-06,6.39
2000-10-10,6.47
2000-10-11,6.52
2000-10-12,6.62
2000-10-13,6.7
2000-10-16,6.73
2000-10-17,6.95
2000-10-18,6.98
2000-10-19,7.03
2000-10-20,7.05
2000-10-23,7.08
2000-10-24,7.04
2000-10-25,7.0
2000-10-26,7.05
2000-10-27,7.04
2000-10-30,7.14
2000-10-31,7.16
2000-11-01,7.2
2000-11-02,7.22
2000-11-03,7.16
2000-11-06,7.19
2000-11-07,7.22
2000-11-08,7.23
2000-11-09,7.28
2000-11-10,7.31
2000-11-13,7.38
2000-11-14,7.4
2000-11-15,7.46
2000-11-16,7.46
2000-11-17,7.47
2000-11-20,7.52
2000-11-21,7.58
2000-11-22,7.76
2000-11-24,7.73
2000-11-27,7.81
2000-11-28,7.93
2000-11-29,8.0
2000-11-30,8.29
2000-12-01,8.28
2000-12-04,8.41
2000-12-05,8.61
2000-12-06,8.66
2000-12-07,8.66
2000-12-08,8.61
2000-12-11,8.57
2000-12-12,8.47
2000-12-13,8.44
2000-12-14,8.45
2000-12-15,9.04
2000-12-18,8.45
2000-12-19,8.38
2000-12-20,8.42
2000-12-21,8.5
2000-12-22,8.53
2000-12-26,8.54
2000-12-27,8.47
2000-12-28,8.44
2000-12-29,8.49
2001-01-02,8.65
2001-01-03,8.5
2001-01-04,8.52
2001-01-05,8.54
2001-01-08,8.55
2001-01-09,8.37
2001-01-10,8.26
2001-01-11,8.03
2001-01-12,7.81
2001-01-16,7.8
2001-01-17,7.87
2001-01-18,7.8
2001-01-19,7.69
2001-01-22,7.6
2001-01-23,7.47
2001-01-24,7.36
2001-01-25,7.28
2001-01-26,7.26
2001-01-29,7.19
2001-01-30,7.22
2001-01-31,6.87
2001-02-01,7.09
2001-02-02,6.99
2001-02-05,6.96
2001-02-06,6.92
2001-02-07,6.92
2001-02-08,6.77
2001-02-09,6.79
2001-02-12,6.72
2001-02-13,6.67
2001-02-14,6.6
2001-02-15,6.48
2001-02-16,6.59
2001-02-20,6.64
2001-02-21,6.62
2001-02-22,6.67
2001-02-23,6.74
2001-02-26,6.82
2001-02-27,6.86
2001-02-28,6.84
2001-03-01,6.86
