date,value
2000-01-01,91.2706
2000-02-01,90.0195
2000-03-01,93.6483
2000-04-01,88.2551
2000-05-01,88.2602
2000-06-01,88.0033
2000-07-01,83.6827
2000-08-01,83.9358
2000-09-01,87.1432
2000-10-01,81.7077
2000-11-01,80.6923
2000-12-01,80.5156
2001-01-01,78.8524
2001-02-01,78.1706
2001-03-01,76.1229
2001-04-01,82.5492
2001-05-01,83.6565
2001-06-01,83.5795
2001-07-01,85.2154
2001-08-01,82.8201
2001-09-01,81.2492
2001-10-01,78.9022
2001-11-01,77.3749
2001-12-01,67.8053
2002-01-01,78.6983
2002-02-01,78.9502
2002-03-01,81.2668
2002-04-01,81.301
2002-05-01,86.1774
2002-06-01,86.2304
2002-07-01,84.7928
2002-08-01,89.8279
2002-09-01,87.6424
2002-10-01,87.5564
2002-11-01,90.9841
2002-12-01,82.5059
2003-01-01,91.5293
2003-02-01,85.6004
2003-03-01,78.0065
2003-04-01,86.9607
2003-05-01,80.4496
2003-06-01,89.0415
2003-07-01,83.7937
2003-08-01,80.0111
2003-09-01,79.7551
2003-10-01,87.4521
2003-11-01,89.6966
2003-12-01,98.0369
2004-01-01,89.1611
2004-02-01,91.104
2004-03-01,92.7905
2004-04-01,90.6038
2004-05-01,92.5659
2004-06-01,91.4704
2004-07-01,97.9704
2004-08-01,94.2861
2004-09-01,95.7606
2004-10-01,96.8729
2004-11-01,95.8283
2004-12-01,92.9435
2005-01-01,91.5534
2005-02-01,90.5305
2005-03-01,88.1832
2005-04-01,85.2645
2005-05-01,81.542
2005-06-01,79.014
2005-07-01,76.979
2005-08-01,83.2095
2005-09-01,84.5301
2005-10-01,84.3359
2005-11-01,89.3043
2005-12-01,89.9476
2006-01-01,89.1968
2006-02-01,90.4584
2006-03-01,91.3527
2006-04-01,91.0153
2006-05-01,93.5147
2006-06-01,92.4229
2006-07-01,88.1275
2006-08-01,88.5208
2006-09-01,88.2486
2006-10-01,82.7982
2006-11-01,81.3703
2006-12-01,78.4602
2007-01-01,83.8197
2007-02-01,83.2633
2007-03-01,84.0341
2007-04-01,85.0954
2007-05-01,84.4022
2007-06-01,83.3348
2007-07-01,83.9846
2007-08-01,83.5864
2007-09-01,81.1863
2007-10-01,87.1072
2007-11-01,90.3704
2007-12-01,91.1467
2008-01-01,91.7129
2008-02-01,91.8385
2008-03-01,89.2123
2008-04-01,91.9225
2008-05-01,88.4246
2008-06-01,87.6583
2008-07-01,89.6029
2008-08-01,86.2656
2008-09-01,79.8525
2008-10-01,69.7856
2008-11-01,55.8032
2008-12-01,46.1248
2009-01-01,44.2875
2009-02-01,44.6068
2009-03-01,40.3067
2009-04-01,39.8065
2009-05-01,41.01
2009-06-01,44.7778
2009-07-01,51.8103
2009-08-01,54.9256
2009-09-01,58.8433
2009-10-01,62.0494
2009-11-01,62.322
2009-12-01,64.5338
2010-01-01,65.4471
2010-02-01,68.4996
2010-03-01,72.7355
2010-04-01,71.2108
2010-05-01,73.251
2010-06-01,71.7811
2010-07-01,65.6895
2010-08-01,66.7524
2010-09-01,69.3797
2010-10-01,67.3062
2010-11-01,70.7739
2010-12-01,73.3491
2011-01-01,74.3396
2011-02-01,74.3813
2011-03-01,75.2112
2011-04-01,73.306
2011-05-01,72.4057
2011-06-01,74.7952
2011-07-01,74.4823
2011-08-01,76.5935
2011-09-01,76.3672
2011-10-01,77.3134
2011-11-01,77.7962
2011-12-01,81.1477
2012-01-01,79.5662
2012-02-01,81.3351
2012-03-01,78.8233
2012-04-01,80.1523
2012-05-01,78.8937
2012-06-01,75.263
2012-07-01,74.8636
2012-08-01,76.7381
2012-09-01,70.8737
2012-10-01,71.8494
2012-11-01,76.2356
2012-12-01,77.8007
2013-01-01,79.2118
2013-02-01,78.8327
2013-03-01,77.6496
2013-04-01,78.7239
2013-05-01,78.8369
2013-06-01,77.6745
2013-07-01,80.377
2013-08-01,79.1894
2013-09-01,79.3885
2013-10-01,81.509
2013-11-01,80.1434
2013-12-01,78.3262
2014-01-01,76.5078
2014-02-01,78.3831
2014-03-01,78.4031
2014-04-01,79.0283
2014-05-01,78.7249
2014-06-01,79.6317
2014-07-01,80.9964
2014-08-01,79.9154
2014-09-01,82.2744
2014-10-01,82.1624
2014-11-01,81.3038
2014-12-01,82.3307
2015-01-01,77.8824
2015-02-01,72.8273
2015-03-01,70.0539
2015-04-01,71.4904
2015-05-01,71.4643
2015-06-01,76.3511
2015-07-01,75.7437
2015-08-01,73.0541
2015-09-01,72.7611
2015-10-01,72.433
2015-11-01,67.7167
2015-12-01,67.8276
2016-01-01,69.3538
2016-02-01,71.3781
2016-03-01,72.2632
2016-04-01,72.0692
2016-05-01,73.6763
2016-06-01,73.8871
2016-07-01,71.304
2016-08-01,70.8547
2016-09-01,68.7088
2016-10-01,67.1422
2016-11-01,70.0956
2016-12-01,72.9446
2017-01-01,75.3653
2017-02-01,74.2854
2017-03-01,73.0699
2017-04-01,73.1938
2017-05-01,72.669
2017-06-01,73.214
2017-07-01,72.7929
2017-08-01,74.0811
2017-09-01,75.3422
2017-10-01,74.8377
2017-11-01,75.8282
2017-12-01,74.7897
2018-01-01,74.6817
2018-02-01,77.0965
2018-03-01,79.1658
2018-04-01,77.6882
2018-05-01,78.5187
2018-06-01,78.7719
2018-07-01,79.1194
2018-08-01,80.6611
2018-09-01,81.1027
2018-10-01,82.1102
2018-11-01,81.8021
2018-12-01,80.3362
2019-01-01,77.5806
2019-02-01,78.2673
2019-03-01,78.3053
2019-04-01,78.4598
2019-05-01,77.1489
2019-06-01,75.1757
2019-07-01,77.7271
2019-08-01,78.9056
2019-09-01,78.8652
2019-10-01,78.8453
2019-11-01,79.7282
2019-12-01,82.5902
2020-01-01,85.4956
2020-02-01,81.7304
2020-03-01,78.4307
2020-04-01,56.5257
2020-05-01,53.8981
2020-06-01,58.0264
2020-07-01,60.5788
2020-08-01,65.7685
2020-09-01,70.7088
2020-10-01,70.5717
2020-11-01,72.2541
2020-12-01,74.7008
2021-01-01,76.3213
2021-02-01,72.7048
2021-03-01,75.3553
2021-04-01,76.9931
2021-05-01,77.0886
2021-06-01,78.2239
2021-07-01,80.2688
2021-08-01,80.4719
2021-09-01,83.3108
2021-10-01,83.7684
2021-11-01,82.8478
2021-12-01,81.2283
2022-01-01,78.6969
2022-02-01,78.4436
2022-03-01,77.508
2022-04-01,78.4791
2022-05-01,79.7937
2022-06-01,78.0618
2022-07-01,78.1122
2022-08-01,76.8537
2022-09-01,76.0147
2022-10-01,74.8851
2022-11-01,72.8696
2022-12-01,71.3637
2023-01-01,73.4102
2023-02-01,75.3596
2023-03-01,75.0299
2023-04-01,74.4527
2023-05-01,74.6547
2023-06-01,74.8965
2023-07-01,73.8364
2023-08-01,73.8608
2023-09-01,73.9291
2023-10-01,74.2816
2023-11-01,74.7583
2023-12-01,74.2831
2024-01-01,72.1146
2024-02-01,72.5971
2024-03-01,72.6167
2024-04-01,71.2841
2024-05-01,71.681
2024-06-01,70.0374
2024-07-01,70.2746
2024-08-01,70.8835
2024-09-01,71.6732
2024-10-01,69.3176
2024-11-01,68.5216
2024-12-01,71.2846
2025-01-01,71.1286
2025-02-01,70.6013
2025-03-01,71.2231
2025-04-01,70.8513
2025-05-01,69.7883
2025-06-01,72.86
2025-07-01,73.2228
2025-08-01,71.8496
2025-09-01,76.7678
2025-10-01,74.1611
2025-11-01,71.3008
2025-12-01,73.45
