region,metric,period,value
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 10,207.8490625
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 11,212.1287879
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 12,249.2070312
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 13,300.8650794
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 14,324.9998438
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 15,263.3928125
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 16,240.5319048
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 17,334.5839063
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 18,287.0870313
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 19,256.7345455
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 20,434.1919355
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 21,463.5758065
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 22,337.8310606
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 23,259.9481818
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 24,141.6640625
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 25,131.1803175
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 26,114.2336923
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 27,120.5192308
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 28,117.1820968
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 29,153.6676563
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 30,144.1249231
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 31,158.4135385
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 32,199.1190476
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 33,202.0634921
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 34,216.8769231
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 35,186.7615385
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 36,188.5625
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 37,218.8650794
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 38,198.640625
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 39,180.8984375
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 40,172.9136508
Europe,        Aus Coking Coal Futures Active Contract (USD/MT),Unnamed: 41,169.2001563
