series_name,ticker,period,value
                Domestic Cars,ASTODCAR Index,Unnamed: 36,1020524.0
                Domestic Cars,ASTODCAR Index,Unnamed: 37,1060304.0
                Domestic Cars,ASTODCAR Index,Unnamed: 38,1186399.0
                Domestic Cars,ASTODCAR Index,Unnamed: 39,1256366.0
                Domestic Cars,ASTODCAR Index,Unnamed: 40,1142604.0
                Domestic Cars,ASTODCAR Index,Unnamed: 41,1198621.0
                Domestic Cars,ASTODCAR Index,Unnamed: 42,1279627.0
                Domestic Cars,ASTODCAR Index,Unnamed: 43,1372943.0
                Domestic Cars,ASTODCAR Index,Unnamed: 44,1293086.0
                Domestic Cars,ASTODCAR Index,Unnamed: 45,1301893.0
                Domestic Cars,ASTODCAR Index,Unnamed: 46,1427235.0
                Domestic Cars,ASTODCAR Index,Unnamed: 47,1531030.0
                Domestic Cars,ASTODCAR Index,Unnamed: 48,1318746.0
                Domestic Cars,ASTODCAR Index,Unnamed: 49,1326644.0
                Domestic Cars,ASTODCAR Index,Unnamed: 50,1439750.0
                Domestic Cars,ASTODCAR Index,Unnamed: 51,1531675.0
                Domestic Cars,ASTODCAR Index,Unnamed: 52,1293429.0
                Domestic Cars,ASTODCAR Index,Unnamed: 53,1211836.0
                Domestic Cars,ASTODCAR Index,Unnamed: 54,1347172.0
                Domestic Cars,ASTODCAR Index,Unnamed: 55,1473241.0
                Domestic Cars,ASTODCAR Index,Unnamed: 56,1355543.0
                Domestic Cars,ASTODCAR Index,Unnamed: 57,1191713.0
                Domestic Cars,ASTODCAR Index,Unnamed: 58,1261247.0
                Domestic Cars,ASTODCAR Index,Unnamed: 59,1394660.0
                Domestic Cars,ASTODCAR Index,Unnamed: 60,1295148.0
                Domestic Cars,ASTODCAR Index,Unnamed: 61,1000902.0
                Domestic Cars,ASTODCAR Index,Unnamed: 62,1023110.0
                Domestic Cars,ASTODCAR Index,Unnamed: 63,1159393.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 36,2124478.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 37,2279709.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 38,2214852.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 39,2186802.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 40,1996271.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 41,2232161.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 42,2163028.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 43,2151478.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 44,1908391.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 45,2109150.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 46,2117919.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 47,2070399.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 48,1801435.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 49,1922646.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 50,1899540.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 51,1952062.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 52,1626193.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 53,1701715.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 54,1686533.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 55,1776416.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 56,1537773.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 57,1599440.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 58,1562215.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 59,1586683.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 60,1390269.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 61,1529071.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 62,1455426.0
                Domestic Trucks,ASTODTRK Index,Unnamed: 63,1386069.0
                Import Cars,ASTOICAR Index,Unnamed: 36,303345.0
                Import Cars,ASTOICAR Index,Unnamed: 37,352845.0
                Import Cars,ASTOICAR Index,Unnamed: 38,372311.0
                Import Cars,ASTOICAR Index,Unnamed: 39,363755.0
                Import Cars,ASTOICAR Index,Unnamed: 40,358986.0
                Import Cars,ASTOICAR Index,Unnamed: 41,406867.0
                Import Cars,ASTOICAR Index,Unnamed: 42,434581.0
                Import Cars,ASTOICAR Index,Unnamed: 43,465960.0
                Import Cars,ASTOICAR Index,Unnamed: 44,396538.0
                Import Cars,ASTOICAR Index,Unnamed: 45,453088.0
                Import Cars,ASTOICAR Index,Unnamed: 46,489562.0
                Import Cars,ASTOICAR Index,Unnamed: 47,519458.0
                Import Cars,ASTOICAR Index,Unnamed: 48,459765.0
                Import Cars,ASTOICAR Index,Unnamed: 49,484052.0
                Import Cars,ASTOICAR Index,Unnamed: 50,540085.0
                Import Cars,ASTOICAR Index,Unnamed: 51,584237.0
                Import Cars,ASTOICAR Index,Unnamed: 52,489356.0
                Import Cars,ASTOICAR Index,Unnamed: 53,547677.0
                Import Cars,ASTOICAR Index,Unnamed: 54,580394.0
                Import Cars,ASTOICAR Index,Unnamed: 55,558186.0
                Import Cars,ASTOICAR Index,Unnamed: 56,503160.0
                Import Cars,ASTOICAR Index,Unnamed: 57,519299.0
                Import Cars,ASTOICAR Index,Unnamed: 58,527286.0
                Import Cars,ASTOICAR Index,Unnamed: 59,542688.0
                Import Cars,ASTOICAR Index,Unnamed: 60,509856.0
                Import Cars,ASTOICAR Index,Unnamed: 61,463784.0
                Import Cars,ASTOICAR Index,Unnamed: 62,446102.0
                Import Cars,ASTOICAR Index,Unnamed: 63,490897.0
                Import Trucks,ASTOITRK Index,Unnamed: 36,642557.0
                Import Trucks,ASTOITRK Index,Unnamed: 37,638396.0
                Import Trucks,ASTOITRK Index,Unnamed: 38,625711.0
                Import Trucks,ASTOITRK Index,Unnamed: 39,584349.0
                Import Trucks,ASTOITRK Index,Unnamed: 40,530638.0
                Import Trucks,ASTOITRK Index,Unnamed: 41,570976.0
                Import Trucks,ASTOITRK Index,Unnamed: 42,562285.0
                Import Trucks,ASTOITRK Index,Unnamed: 43,538350.0
                Import Trucks,ASTOITRK Index,Unnamed: 44,459936.0
                Import Trucks,ASTOITRK Index,Unnamed: 45,519725.0
                Import Trucks,ASTOITRK Index,Unnamed: 46,468364.0
                Import Trucks,ASTOITRK Index,Unnamed: 47,422786.0
                Import Trucks,ASTOITRK Index,Unnamed: 48,351195.0
                Import Trucks,ASTOITRK Index,Unnamed: 49,331883.0
                Import Trucks,ASTOITRK Index,Unnamed: 50,365916.0
                Import Trucks,ASTOITRK Index,Unnamed: 51,330738.0
                Import Trucks,ASTOITRK Index,Unnamed: 52,318842.0
                Import Trucks,ASTOITRK Index,Unnamed: 53,331487.0
                Import Trucks,ASTOITRK Index,Unnamed: 54,326777.0
                Import Trucks,ASTOITRK Index,Unnamed: 55,306462.0
                Import Trucks,ASTOITRK Index,Unnamed: 56,279184.0
                Import Trucks,ASTOITRK Index,Unnamed: 57,266633.0
                Import Trucks,ASTOITRK Index,Unnamed: 58,263413.0
                Import Trucks,ASTOITRK Index,Unnamed: 59,268769.0
                Import Trucks,ASTOITRK Index,Unnamed: 60,261255.0
                Import Trucks,ASTOITRK Index,Unnamed: 61,254177.0
                Import Trucks,ASTOITRK Index,Unnamed: 62,250248.0
                Import Trucks,ASTOITRK Index,Unnamed: 63,224979.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 10,5634.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 11,6781.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 12,4974.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 13,8244.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 14,7179.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 15,7097.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 16,5193.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 17,8278.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 18,6841.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 19,6316.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 20,4952.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 21,7472.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 22,6025.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 23,5836.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 24,4397.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 25,6242.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 26,4583.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 27,4590.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 28,3559.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 29,5407.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 30,4523.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 31,5025.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 32,3608.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 33,5223.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 34,4247.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 35,4895.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 36,3589.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 37,5343.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 38,3301.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 39,4601.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 40,3773.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 41,4551.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 42,4209.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 43,5402.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 44,4363.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 45,5808.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 46,5251.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 47,6344.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 48,6507.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 49,8729.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 5,4559.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 50,7776.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 51,7902.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 52,7731.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 53,11585.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 54,8231.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 55,9542.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 56,7880.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 57,10797.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 58,7325.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 59,7388.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 6,4432.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 60,6190.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 61,8821.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 62,6034.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 63,6492.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 7,4802.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 8,3873.0
            2 WD Tractors 100 HP & Over,TRACUSR3 Index,Unnamed: 9,5420.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 10,1187.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 11,1098.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 12,824.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 13,1502.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 14,1187.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 15,977.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 16,896.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 17,1328.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 18,850.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 19,691.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 20,596.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 21,1139.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 22,944.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 23,846.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 24,600.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 25,1142.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 26,752.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 27,550.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 28,544.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 29,943.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 30,702.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 31,651.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 32,590.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 33,957.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 34,699.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 35,604.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 36,476.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 37,926.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 38,472.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 39,573.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 40,456.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 41,842.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 42,374.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 43,572.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 44,524.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 45,944.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 46,604.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 47,718.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 48,848.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 49,1183.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 5,633.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 50,1092.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 51,1296.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 52,1531.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 53,2273.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 54,1468.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 55,1517.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 56,1645.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 57,2440.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 58,1697.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 59,1476.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 6,719.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 60,1320.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 61,1826.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 62,1400.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 63,1421.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 7,647.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 8,536.0
            4 WD Tractors,TRACUSR4 Index,Unnamed: 9,1248.0
            Construction Machine,DSMCCONS Index,Unnamed: 10,11423.0
            Construction Machine,DSMCCONS Index,Unnamed: 11,11892.0
            Construction Machine,DSMCCONS Index,Unnamed: 12,12194.0
            Construction Machine,DSMCCONS Index,Unnamed: 13,12109.0
            Construction Machine,DSMCCONS Index,Unnamed: 14,11719.0
            Construction Machine,DSMCCONS Index,Unnamed: 15,11377.0
            Construction Machine,DSMCCONS Index,Unnamed: 16,11353.0
            Construction Machine,DSMCCONS Index,Unnamed: 17,11018.0
            Construction Machine,DSMCCONS Index,Unnamed: 18,10616.0
            Construction Machine,DSMCCONS Index,Unnamed: 19,10086.0
            Construction Machine,DSMCCONS Index,Unnamed: 20,9555.0
            Construction Machine,DSMCCONS Index,Unnamed: 21,8950.0
            Construction Machine,DSMCCONS Index,Unnamed: 22,9192.0
            Construction Machine,DSMCCONS Index,Unnamed: 23,8529.0
            Construction Machine,DSMCCONS Index,Unnamed: 24,8710.0
            Construction Machine,DSMCCONS Index,Unnamed: 25,8231.0
            Construction Machine,DSMCCONS Index,Unnamed: 26,7484.0
            Construction Machine,DSMCCONS Index,Unnamed: 27,6568.0
            Construction Machine,DSMCCONS Index,Unnamed: 28,8429.0
            Construction Machine,DSMCCONS Index,Unnamed: 29,8932.0
            Construction Machine,DSMCCONS Index,Unnamed: 30,9603.0
            Construction Machine,DSMCCONS Index,Unnamed: 31,9922.0
            Construction Machine,DSMCCONS Index,Unnamed: 32,9605.0
            Construction Machine,DSMCCONS Index,Unnamed: 33,9165.0
            Construction Machine,DSMCCONS Index,Unnamed: 34,8909.0
            Construction Machine,DSMCCONS Index,Unnamed: 35,8597.0
            Construction Machine,DSMCCONS Index,Unnamed: 36,8185.0
            Construction Machine,DSMCCONS Index,Unnamed: 37,8334.0
            Construction Machine,DSMCCONS Index,Unnamed: 38,7717.0
            Construction Machine,DSMCCONS Index,Unnamed: 39,7636.0
            Construction Machine,DSMCCONS Index,Unnamed: 40,7726.0
            Construction Machine,DSMCCONS Index,Unnamed: 41,7345.0
            Construction Machine,DSMCCONS Index,Unnamed: 42,6900.0
            Construction Machine,DSMCCONS Index,Unnamed: 43,7398.0
            Construction Machine,DSMCCONS Index,Unnamed: 44,7119.0
            Construction Machine,DSMCCONS Index,Unnamed: 45,7311.0
            Construction Machine,DSMCCONS Index,Unnamed: 46,7454.0
            Construction Machine,DSMCCONS Index,Unnamed: 47,7720.0
            Construction Machine,DSMCCONS Index,Unnamed: 48,8482.0
            Construction Machine,DSMCCONS Index,Unnamed: 49,8801.0
            Construction Machine,DSMCCONS Index,Unnamed: 5,8725.0
            Construction Machine,DSMCCONS Index,Unnamed: 50,9289.0
            Construction Machine,DSMCCONS Index,Unnamed: 51,9398.0
            Construction Machine,DSMCCONS Index,Unnamed: 52,9011.0
            Construction Machine,DSMCCONS Index,Unnamed: 53,8343.0
            Construction Machine,DSMCCONS Index,Unnamed: 54,7866.0
            Construction Machine,DSMCCONS Index,Unnamed: 55,8839.0
            Construction Machine,DSMCCONS Index,Unnamed: 56,9772.0
            Construction Machine,DSMCCONS Index,Unnamed: 57,11234.0
            Construction Machine,DSMCCONS Index,Unnamed: 58,11970.0
            Construction Machine,DSMCCONS Index,Unnamed: 59,9621.0
            Construction Machine,DSMCCONS Index,Unnamed: 6,12894.0
            Construction Machine,DSMCCONS Index,Unnamed: 60,9277.0
            Construction Machine,DSMCCONS Index,Unnamed: 61,9642.0
            Construction Machine,DSMCCONS Index,Unnamed: 62,9971.0
            Construction Machine,DSMCCONS Index,Unnamed: 63,8596.0
            Construction Machine,DSMCCONS Index,Unnamed: 7,11643.0
            Construction Machine,DSMCCONS Index,Unnamed: 8,11578.0
            Construction Machine,DSMCCONS Index,Unnamed: 9,11357.0
            Flat,EUSLFLAT Index,Unnamed: 16,2877435.42
            Flat,EUFEFLAT Index,Unnamed: 16,1670117.0
            Flat,EUSLFLAT Index,Unnamed: 17,2074289.86
            Flat,EUFEFLAT Index,Unnamed: 17,2852323.06
            Flat,EUSLFLAT Index,Unnamed: 18,2997290.89
            Flat,EUFEFLAT Index,Unnamed: 18,2737133.0
            Flat,EUSLFLAT Index,Unnamed: 19,3859992.68
            Flat,EUFEFLAT Index,Unnamed: 19,2810139.95
            Flat,EUSLFLAT Index,Unnamed: 20,3620519.77
            Flat,EUFEFLAT Index,Unnamed: 20,3150574.95
            Flat,EUSLFLAT Index,Unnamed: 21,3793823.55
            Flat,EUFEFLAT Index,Unnamed: 21,2668226.02
            Flat,EUSLFLAT Index,Unnamed: 22,3286720.7
