date,value
1999-12-09,526.0
1999-12-10,502.0
1999-12-13,500.0
1999-12-14,492.0
1999-12-15,470.0
1999-12-16,474.0
1999-12-17,472.0
1999-12-20,468.0
1999-12-21,474.0
1999-12-22,486.0
1999-12-24,480.0
1999-12-27,478.0
1999-12-28,480.0
1999-12-29,474.0
1999-12-30,478.0
2000-01-04,468.0
2000-01-05,464.0
2000-01-06,460.0
2000-01-07,462.0
2000-01-11,470.0
2000-01-12,460.0
2000-01-13,486.0
2000-01-14,508.0
2000-01-17,510.0
2000-01-18,510.0
2000-01-19,512.0
2000-01-20,522.0
2000-01-21,540.0
2000-01-24,562.0
2000-01-25,542.0
2000-01-26,530.0
2000-01-27,522.0
2000-01-28,516.0
2000-01-31,510.0
2000-02-01,516.0
2000-02-02,534.0
2000-02-03,538.0
2000-02-04,524.0
2000-02-07,506.0
2000-02-08,502.0
2000-02-09,502.0
2000-02-10,494.0
2000-02-14,482.0
2000-02-15,460.0
2000-02-16,466.0
2000-02-17,480.0
2000-02-18,476.0
2000-02-21,468.0
2000-02-22,464.0
2000-02-23,466.0
2000-02-24,470.0
2000-02-25,474.0
2000-02-28,462.0
2000-02-29,464.0
2000-03-01,462.0
2000-03-02,458.0
2000-03-03,446.0
2000-03-06,450.0
2000-03-07,450.0
2000-03-08,448.0
2000-03-09,444.0
2000-03-10,444.0
2000-03-13,438.0
2000-03-14,446.0
2000-03-15,432.0
2000-03-16,434.0
2000-03-17,442.0
2000-03-21,436.0
2000-03-22,442.0
2000-03-23,444.0
2000-03-24,464.0
2000-03-27,476.0
2000-03-28,496.0
2000-03-29,494.0
2000-03-30,488.0
2000-03-31,490.0
2000-04-03,514.0
2000-04-04,526.0
2000-04-05,526.0
2000-04-06,514.0
2000-04-07,512.0
2000-04-10,514.0
2000-04-11,512.0
2000-04-12,528.0
2000-04-13,524.0
2000-04-14,520.0
2000-04-17,492.0
2000-04-18,504.0
2000-04-19,502.0
2000-04-20,500.0
2000-04-21,488.0
2000-04-24,496.0
2000-04-25,500.0
2000-04-26,500.0
2000-04-27,482.0
2000-04-28,486.0
2000-05-01,486.0
2000-05-02,484.0
2000-05-08,480.0
2000-05-09,484.0
2000-05-10,494.0
2000-05-11,478.0
2000-05-12,480.0
2000-05-15,484.0
2000-05-16,472.0
2000-05-17,476.0
2000-05-18,488.0
2000-05-19,498.0
2000-05-22,500.0
2000-05-23,496.0
2000-05-24,502.0
2000-05-25,506.0
2000-05-26,494.0
2000-05-29,484.0
2000-05-30,482.0
2000-05-31,472.0
2000-06-01,464.0
2000-06-02,468.0
2000-06-05,464.0
2000-06-06,470.0
2000-06-07,470.0
2000-06-08,470.0
2000-06-09,472.0
2000-06-12,466.0
2000-06-13,476.0
2000-06-14,476.0
2000-06-15,464.0
2000-06-16,452.0
2000-06-19,460.0
2000-06-20,460.0
2000-06-21,466.0
2000-06-22,456.0
2000-06-23,452.0
2000-06-26,446.0
2000-06-27,458.0
2000-06-28,460.0
2000-06-29,452.0
2000-06-30,446.0
2000-07-03,448.0
2000-07-04,450.0
2000-07-05,444.0
2000-07-06,440.0
2000-07-07,434.0
2000-07-10,432.0
2000-07-11,436.0
2000-07-12,448.0
2000-07-13,436.0
2000-07-14,438.0
2000-07-17,436.0
2000-07-18,434.0
2000-07-19,422.0
2000-07-21,414.0
2000-07-24,424.0
2000-07-25,428.0
2000-07-26,420.0
2000-07-27,424.0
2000-07-28,420.0
2000-07-31,420.0
2000-08-01,428.0
2000-08-02,430.0
2000-08-03,436.0
2000-08-04,420.0
2000-08-07,420.0
2000-08-08,418.0
2000-08-09,414.0
2000-08-10,410.0
2000-08-11,414.0
2000-08-14,416.0
2000-08-15,414.0
2000-08-16,414.0
2000-08-17,408.0
2000-08-18,408.0
2000-08-21,404.0
2000-08-22,408.0
2000-08-23,406.0
2000-08-24,404.0
2000-08-25,410.0
2000-08-28,408.0
2000-08-29,406.0
2000-08-30,402.0
2000-08-31,400.0
2000-09-01,392.0
2000-09-04,394.0
2000-09-05,392.0
2000-09-06,394.0
2000-09-07,388.0
2000-09-08,390.0
2000-09-11,380.0
2000-09-12,384.0
2000-09-13,382.0
2000-09-14,370.0
2000-09-18,380.0
2000-09-19,390.0
2000-09-20,386.0
2000-09-21,390.0
2000-09-22,384.0
2000-09-25,376.0
2000-09-26,374.0
2000-09-27,372.0
2000-09-28,374.0
2000-09-29,384.0
2000-10-02,390.0
2000-10-03,396.0
2000-10-04,394.0
2000-10-05,384.0
2000-10-06,376.0
2000-10-10,380.0
2000-10-11,370.0
2000-10-12,370.0
2000-10-13,362.0
2000-10-16,368.0
2000-10-17,370.0
2000-10-18,362.0
2000-10-19,366.0
2000-10-20,364.0
2000-10-23,366.0
2000-10-24,362.0
2000-10-25,352.0
2000-10-26,348.0
2000-10-27,342.0
2000-10-30,348.0
2000-10-31,354.0
2000-11-01,368.0
2000-11-02,372.0
2000-11-06,374.0
2000-11-07,376.0
2000-11-08,370.0
2000-11-09,368.0
2000-11-10,360.0
2000-11-13,360.0
2000-11-14,364.0
2000-11-15,366.0
2000-11-16,356.0
2000-11-17,352.0
2000-11-20,358.0
2000-11-21,358.0
2000-11-22,354.0
2000-11-24,360.0
2000-11-27,364.0
2000-11-28,380.0
2000-11-29,376.0
2000-11-30,392.0
2000-12-01,414.0
2000-12-04,408.0
2000-12-05,396.0
2000-12-06,406.0
2000-12-07,412.0
2000-12-08,410.0
2000-12-11,424.0
2000-12-12,424.0
2000-12-13,428.0
2000-12-14,404.0
2000-12-15,396.0
2000-12-18,382.0
2000-12-19,370.0
2000-12-20,366.0
2000-12-21,362.0
2000-12-22,378.0
2000-12-25,380.0
2000-12-26,386.0
2000-12-27,384.0
2000-12-28,390.0
2000-12-29,378.0
2001-01-04,382.0
2001-01-05,378.0
2001-01-09,374.0
2001-01-10,376.0
2001-01-11,374.0
2001-01-12,380.0
2001-01-15,372.0
2001-01-16,378.0
2001-01-17,374.0
2001-01-18,386.0
2001-01-19,380.0
2001-01-22,392.0
2001-01-23,386.0
2001-01-24,386.0
2001-01-25,378.0
2001-01-26,382.0
2001-01-29,390.0
2001-01-30,398.0
2001-01-31,408.0
2001-02-01,408.0
2001-02-02,400.0
2001-02-05,392.0
2001-02-06,392.0
2001-02-07,400.0
2001-02-08,390.0
2001-02-09,386.0
2001-02-13,394.0
2001-02-14,392.0
2001-02-15,396.0
2001-02-16,394.0
2001-02-19,388.0
2001-02-20,396.0
2001-02-21,398.0
2001-02-22,404.0
2001-02-23,408.0
2001-02-26,408.0
2001-02-27,418.0
2001-02-28,428.0
2001-03-01,434.0
2001-03-02,414.0
2001-03-05,412.0
2001-03-06,410.0
2001-03-07,412.0
2001-03-08,416.0
2001-03-09,418.0
2001-03-12,414.0
2001-03-13,402.0
2001-03-14,396.0
2001-03-15,400.0
2001-03-16,400.0
2001-03-19,398.0
2001-03-21,418.0
2001-03-22,420.0
2001-03-23,418.0
2001-03-26,424.0
2001-03-27,424.0
2001-03-28,432.0
2001-03-29,420.0
2001-03-30,416.0
2001-04-02,414.0
2001-04-03,422.0
2001-04-04,430.0
2001-04-05,434.0
2001-04-06,430.0
