date,value
1990-01-02,7.99
1990-01-03,8.034
1990-01-04,8.035
1990-01-05,8.056
1990-01-08,8.094
1990-01-09,8.094
1990-01-10,8.085
1990-01-11,8.115
1990-01-12,8.171
1990-01-16,8.254
1990-01-17,8.248
1990-01-18,8.338
1990-01-19,8.27
1990-01-22,8.309
1990-01-23,8.391
1990-01-24,8.411
1990-01-25,8.457
1990-01-26,8.522
1990-01-29,8.578
1990-01-30,8.545
1990-01-31,8.452
1990-02-01,8.429
1990-02-02,8.51
1990-02-05,8.535
1990-02-06,8.588
1990-02-07,8.544
1990-02-08,8.483
1990-02-09,8.331
1990-02-12,8.43
1990-02-13,8.383
1990-02-14,8.413
1990-02-15,8.457
1990-02-16,8.46
1990-02-20,8.659
1990-02-21,8.641
1990-02-22,8.566
1990-02-23,8.557
1990-02-26,8.484
1990-02-27,8.447
1990-02-28,8.542
1990-03-01,8.605
1990-03-02,8.548
1990-03-05,8.651
1990-03-06,8.571
1990-03-07,8.598
1990-03-08,8.552
1990-03-09,8.624
1990-03-12,8.615
1990-03-13,8.713
1990-03-14,8.605
1990-03-15,8.615
1990-03-16,8.54
1990-03-19,8.534
1990-03-20,8.457
1990-03-21,8.493
1990-03-22,8.486
1990-03-23,8.478
1990-03-26,8.463
1990-03-27,8.47
1990-03-28,8.463
1990-03-29,8.585
1990-03-30,8.626
1990-04-02,8.631
1990-04-03,8.615
1990-04-04,8.509
1990-04-05,8.519
1990-04-06,8.521
1990-04-09,8.548
1990-04-10,8.589
1990-04-11,8.575
1990-04-12,8.594
1990-04-16,8.637
1990-04-17,8.717
1990-04-18,8.844
1990-04-19,8.847
1990-04-20,8.943
1990-04-23,8.961
1990-04-24,8.961
1990-04-25,8.983
1990-04-26,9.041
1990-04-27,9.021
1990-04-30,8.994
1990-05-01,9.034
1990-05-02,9.034
1990-05-03,8.973
1990-05-04,8.816
1990-05-07,8.841
1990-05-08,8.825
1990-05-09,8.868
1990-05-10,8.847
1990-05-11,8.641
1990-05-14,8.579
1990-05-15,8.616
1990-05-16,8.639
1990-05-17,8.655
1990-05-18,8.702
1990-05-21,8.688
1990-05-22,8.613
1990-05-23,8.575
1990-05-24,8.611
1990-05-25,8.668
1990-05-29,8.618
1990-05-30,8.594
1990-05-31,8.578
1990-06-01,8.419
1990-06-04,8.425
1990-06-05,8.449
1990-06-06,8.442
1990-06-07,8.426
1990-06-08,8.443
1990-06-11,8.447
1990-06-12,8.457
1990-06-13,8.383
1990-06-14,8.345
1990-06-15,8.424
1990-06-18,8.461
1990-06-19,8.48
1990-06-20,8.513
1990-06-21,8.492
1990-06-22,8.48
1990-06-25,8.565
1990-06-26,8.51
1990-06-27,8.48
1990-06-28,8.439
1990-06-29,8.4
1990-07-02,8.399
1990-07-03,8.388
1990-07-05,8.404
1990-07-06,8.505
1990-07-09,8.545
1990-07-10,8.555
1990-07-11,8.561
1990-07-12,8.497
1990-07-13,8.449
1990-07-16,8.456
1990-07-17,8.459
1990-07-18,8.545
1990-07-19,8.553
1990-07-20,8.538
1990-07-23,8.553
1990-07-24,8.585
1990-07-25,8.545
1990-07-26,8.538
1990-07-27,8.478
1990-07-30,8.405
1990-07-31,8.411
1990-08-01,8.353
1990-08-02,8.458
1990-08-03,8.555
1990-08-06,8.802
1990-08-07,8.842
1990-08-08,8.841
1990-08-09,8.756
1990-08-10,8.777
1990-08-13,8.807
1990-08-14,8.783
1990-08-15,8.759
1990-08-16,8.908
1990-08-17,8.943
1990-08-20,8.919
1990-08-21,8.937
1990-08-22,9.054
1990-08-23,9.128
1990-08-24,9.155
1990-08-27,9.006
1990-08-28,9.039
1990-08-29,8.926
1990-08-30,8.975
1990-08-31,8.984
1990-09-04,9.018
1990-09-05,8.965
1990-09-06,8.948
1990-09-07,8.913
1990-09-10,8.964
1990-09-11,8.927
1990-09-12,8.947
1990-09-13,8.951
1990-09-14,9.022
1990-09-17,9.06
1990-09-18,9.058
1990-09-19,9.014
1990-09-20,9.036
1990-09-21,9.123
1990-09-24,9.172
1990-09-25,9.146
1990-09-26,9.126
1990-09-27,9.019
1990-09-28,8.949
1990-10-01,8.853
1990-10-02,8.825
1990-10-03,8.865
1990-10-04,8.79
